日期,殖利率(%),股利年度,本益比,股價淨值比
106年07月03日,3.04,105,17.20,1.14
106年07月04日,3.06,105,17.11,1.13
106年07月05日,3.10,105,16.90,1.12
106年07月06日,3.09,105,16.96,1.12
106年07月07日,3.09,105,16.93,1.12
106年07月10日,3.10,105,16.88,1.12
106年07月11日,3.09,105,16.96,1.12
106年07月12日,3.10,105,16.90,1.12
106年07月13日,3.12,105,16.79,1.11
106年07月14日,3.09,105,16.96,1.12
106年07月17日,3.09,105,16.96,1.12
106年07月18日,3.09,105,16.96,1.12
106年07月19日,3.12,105,16.82,1.11
106年07月20日,3.10,105,16.90,1.12
106年07月21日,3.10,105,16.88,1.12
