鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
萬華區,房地(土地+建物),台北市萬華區和平西路二段121~150號,3.62,住,,,1010827,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0680623,42.95,2,1,1,有,無,6800000,158329,,0.0,0,,RPVOMLPLIIHFFBA47CA
松山區,房地(土地+建物),臺北市松山區八德路二段437巷2弄1~30號,46.5,商,,,1020527,土地1建物1車位0,四層，露台,四層,公寓(5樓含以下無電梯),,加強磚造,,124.22,4,4,3,有,無,28150000,226614,,0.0,0,,RPWRMLMJRHIFFDA58DA
松山區,房地(土地+建物)+車位,臺北市松山區八德路二段346巷5弄1~30號,31.89,住,,,1020731,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1001130,176.39,3,2,2,有,有,49000000,277794,坡道平面,39.62,0,,RPOTMLMJRHIFFDA97DA
松山區,房地(土地+建物),臺北市松山區光復北路181~210號,27.54,住,,,1020729,土地2建物1車位0,十六層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0910208,108.08,2,2,1,有,無,23600000,218357,,0.0,0,,RPTOMLOJRHIFFDA18DA
松山區,房地(土地+建物),臺北市松山區南京東路五段250巷18弄1~30號,19.72,住,,,1020812,土地1建物1車位0,一層,六層,華廈(10層含以下有電梯),,鋼筋混凝土造,0660524,95.61,0,1,1,有,無,8000000,83673,,0.0,0,親友、員工或其他特殊關係間之交易。權利人二人,RPUOMLMKRHIFFDA18DA
萬華區,房地(土地+建物),臺北市萬華區和平西路二段121~150號,5.17,住,,,1021118,土地1建物1車位0,十一層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0680623,60.71,1,1,1,有,有,9900000,163070,,0.0,0,,RPQNMLQLKIIFFBA27CA
大同區,房地(土地+建物),臺北市大同區承德路三段31~60號,33.0,商,,,1050607,土地1建物1車位0,一層，騎樓,四層,店面(店鋪),工業用,鋼筋混凝土造,0620830,98.7,0,0,0,無,無,45000000,455927,,0.0,0,,RPSNMLLLOHMFFBA67CA
中正區,房地(土地+建物)+車位,臺北市中正區羅斯福路三段121~150號,15.76,商,,,1050904,土地4建物1車位1,五層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1050126,210.29000000000002,3,2,2,有,有,65760000,358581,坡道平面,34.43,2700000,1.雨遮不計價2.權利人共二人,RPWNMLQLNHMFFAA38CA
中正區,房地(土地+建物)+車位,臺北市中正區汀州路一段61~90號,38.05,住,,,1060115,土地2建物1車位2,十四層,二十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010919,338.24,4,2,3,有,有,69000000,236433,坡道平面,71.78,6000000,,RPWNMLKKNHMFFAA67CA
大安區,房地(土地+建物)+車位,臺北市大安區羅斯福路三段31~60號,17.45,商,,,1030401,土地2建物1車位2,二十四層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1050721,253.86,4,2,2,有,無,90560000,456517,坡道平面,71.26,7200000,1.本案為預售合約價格。2.二個車位無拆分單價。,RPVNMLQKOHMFFFA78CA
萬華區,土地,萬華段二小段751~780地號,11.0,商,,,1060425,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10395000,945000,,0.0,0,,RPTOMLQKOHMFFBA28CA
大安區,土地,通化段二小段421~450地號,128.0,商,,,1060401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,35456000,277000,,0.0,0,,RPQNMLQKOHMFFFA38DA
大同區,房地(土地+建物),臺北市大同區民權西路160巷26弄1~30號,44.0,住,,,1060412,土地1建物1車位0,全,一層,透天厝,住家用,見其他登記事項,0441026,61.49,2,2,1,有,無,15000000,243942,,0.0,0,朋友關係,RPPNMLKLOHMFFBA27CA
內湖區,房地(土地+建物)+車位,臺北市內湖區文德路210巷30弄1~30號,10.05,商,,,1060412,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990324,116.84,2,1,1,有,有,16900000,144630,坡道平面,0.0,0,,RPWNMLKLOHMFFCA08CA
信義區,房地(土地+建物)+車位,臺北市信義區信義路五段91~120號,32.61,其他,,,1060328,土地1建物1車位2,十四層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0961228,249.76999999999998,3,2,2,有,有,78000000,358562,坡道平面,43.4,4000000,,RPQOMLTKOHMFFDA48CA
北投區,房地(土地+建物),臺北市北投區義理街63巷4弄1~30號,24.68,住,,,1060401,土地1建物1車位0,五層，四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780714,81.21,4,2,3,有,有,11250000,138530,,0.0,0,二等親之間買賣。,RPOOMLLLOHMFFEA67CA
北投區,車位,臺北市北投區義理街63巷1~30號,2.86,住,,,1060401,土地0建物0車位1,地下二層,五層,其他,見使用執照,鋼筋混凝土造,0780714,38.12,0,0,0,有,有,2500000,,坡道平面,0.0,2500000,二等親之間買賣。,SPOOMLLLOHMFFEA77CA
