編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVOMLPLIIHFFBA47CA,33,36.52,住家用,鋼筋混凝土造,68年6月23日,十二層,九層
RPVOMLPLIIHFFBA47CA,33,6.43,,鋼筋混凝土造,68年6月23日,十二層,
RPWRMLMJRHIFFDA58DA,,124.22,,加強磚造,,四層,四層 露台
RPOTMLMJRHIFFDA97DA,2,96.13,住家用,鋼筋混凝土造,100年11月30日,七層,三層
RPOTMLMJRHIFFDA97DA,2,34.66,見其他登記事項,鋼筋混凝土造,100年11月30日,七層,
RPOTMLMJRHIFFDA97DA,2,45.60,見其他登記事項,鋼筋混凝土造,100年11月30日,七層,
RPTOMLOJRHIFFDA18DA,11,2.03,停車空間,鋼筋混凝土造,91年2月8日,十八層,地下二層
RPTOMLOJRHIFFDA18DA,11,14.37,共有部分,鋼筋混凝土造,91年2月8日,十八層,
RPTOMLOJRHIFFDA18DA,11,22.74,共有部分,鋼筋混凝土造,91年2月8日,十八層,
RPTOMLOJRHIFFDA18DA,11,.61,共有部分,鋼筋混凝土造,91年2月8日,十八層,
RPTOMLOJRHIFFDA18DA,11,68.33,見其他登記事項,鋼筋混凝土造,91年2月8日,十八層,十六層
RPUOMLMKRHIFFDA18DA,36,86.58,,鋼筋混凝土造,66年5月24日,六層,一層
RPUOMLMKRHIFFDA18DA,36,9.03,共有部分,鋼筋混凝土造,66年5月24日,六層,
RPQNMLQLKIIFFBA27CA,34,51.53,住家用,鋼筋混凝土造,68年6月23日,十二層,十一層
RPQNMLQLKIIFFBA27CA,34,9.18,,鋼筋混凝土造,68年6月23日,十二層,
RPSNMLLLOHMFFBA67CA,43,98.70,工業用,鋼筋混凝土造,62年8月30日,四層,一層 騎樓
RPWNMLQLNHMFFAA38CA,1,131.93,見其他登記事項,鋼骨鋼筋混凝土造,105年1月26日,十九層,五層
RPWNMLQLNHMFFAA38CA,1,26.33,見其他登記事項,鋼骨鋼筋混凝土造,105年1月26日,十九層,
RPWNMLQLNHMFFAA38CA,1,17.60,見其他登記事項,鋼骨鋼筋混凝土造,105年1月26日,十九層,
RPWNMLQLNHMFFAA38CA,1,34.43,見其他登記事項,鋼骨鋼筋混凝土造,105年1月26日,十九層,
RPWNMLKKNHMFFAA67CA,4,176.49,見其他登記事項,鋼筋混凝土造,101年9月19日,二十層,十四層
RPWNMLKKNHMFFAA67CA,4,.03,見其他登記事項,鋼筋混凝土造,101年9月19日,二十層,一層
RPWNMLKKNHMFFAA67CA,4,.01,見其他登記事項,鋼筋混凝土造,101年9月19日,二十層,
RPWNMLKKNHMFFAA67CA,4,71.79,見其他登記事項,鋼筋混凝土造,101年9月19日,二十層,
RPWNMLKKNHMFFAA67CA,4,52.26,見其他登記事項,鋼筋混凝土造,101年9月19日,二十層,
RPWNMLKKNHMFFAA67CA,4,37.66,見其他登記事項,鋼筋混凝土造,101年9月19日,二十層,
RPVNMLQKOHMFFFA78CA,,127.57,住家用,鋼骨鋼筋混凝土造,105年7月21日,二十五層,二十四層
RPVNMLQKOHMFFFA78CA,,52.64,見其他登記事項,鋼骨鋼筋混凝土造,105年7月21日,二十五層,
RPVNMLQKOHMFFFA78CA,,2.40,見其他登記事項,鋼骨鋼筋混凝土造,105年7月21日,二十五層,
RPVNMLQKOHMFFFA78CA,,.32,見其他登記事項,鋼骨鋼筋混凝土造,105年7月21日,二十五層,一層
RPVNMLQKOHMFFFA78CA,,70.93,見其他登記事項,鋼骨鋼筋混凝土造,105年7月21日,二十五層,
RPPNMLKLOHMFFBA27CA,61,61.49,住家用,見其他登記事項,44年10月26日,一層,一層 見其他登記事項
RPWNMLKLOHMFFCA08CA,7,46.65,住家用,鋼筋混凝土造,99年3月24日,十二層,十層
RPWNMLKLOHMFFCA08CA,7,18.39,見其他登記事項,鋼筋混凝土造,99年3月24日,十二層,
RPWNMLKLOHMFFCA08CA,7,10.37,見其他登記事項,鋼筋混凝土造,99年3月24日,十二層,
RPWNMLKLOHMFFCA08CA,7,.06,商業用,鋼筋混凝土造,99年3月24日,十二層,一層
RPWNMLKLOHMFFCA08CA,7,.03,見其他登記事項,鋼筋混凝土造,99年3月24日,十二層,
RPWNMLKLOHMFFCA08CA,7,41.34,見其他登記事項,鋼筋混凝土造,99年3月24日,十二層,
RPQOMLTKOHMFFDA48CA,9,43.40,見其他登記事項,鋼骨鋼筋混凝土造,96年12月28日,二十七層,
RPQOMLTKOHMFFDA48CA,9,21.95,共有部分,鋼骨鋼筋混凝土造,96年12月28日,二十七層,
RPQOMLTKOHMFFDA48CA,9,46.91,共有部分,鋼骨鋼筋混凝土造,96年12月28日,二十七層,
RPQOMLTKOHMFFDA48CA,9,136.37,住家用,鋼骨鋼筋混凝土造,96年12月28日,二十七層,十四層
RPQOMLTKOHMFFDA48CA,9,.57,見其他登記事項,鋼骨鋼筋混凝土造,96年12月28日,二十七層,一層
RPQOMLTKOHMFFDA48CA,9,.57,見其他登記事項,鋼骨鋼筋混凝土造,96年12月28日,二十七層,一層
RPOOMLLLOHMFFEA67CA,28,74.08,住家用,鋼筋混凝土造,78年7月14日,五層,五層 四層
RPOOMLLLOHMFFEA67CA,28,7.13,共有部分,鋼筋混凝土造,78年7月14日,五層,
SPOOMLLLOHMFFEA77CA,28,38.00,見使用執照,鋼筋混凝土造,78年7月14日,五層,地下二層
SPOOMLLLOHMFFEA77CA,28,.12,共有部分,鋼筋混凝土造,78年7月14日,五層,
RPWNMLRKNHMFFFA88CA,,36.51,住家用,鋼筋混凝土造,,十二層,八層 陽台
RPWNMLRKNHMFFFA88CA,,5.45,共有部分,鋼筋混凝土造,,十二層,
RPWNMLRKNHMFFFA88CA,,.01,共有部分,鋼筋混凝土造,,十二層,
RPWNMLRKNHMFFFA88CA,,3.28,見使用執照,鋼筋混凝土造,,十二層,避難室兼停車場
RPSNMLMJOHMFFEA87CA,43,83.60,住家用,鋼筋混凝土造,62年12月26日,四層,二層
RPUNMLRKNHMFFEA58CA,39,97.06,住家用,鋼筋混凝土造,67年1月12日,四層,一層
RPSPMLNLNHMFFEA28CA,1,44.25,見其他登記事項,鋼筋混凝土造,105年7月12日,九層,
RPPNMLOLNHMFFEA87CA,3,536.53,見其他登記事項,鋼骨鋼筋混凝土造,103年2月19日,三層,一層 二層 三層 地下一層
RPOOMLOLNHMFFEA87CA,36,105.82,住家用,鋼筋混凝土造,69年11月13日,五層,四層
RPPQMLQKNHMFFEA28CA,7,8.15,見其他登記事項,鋼筋混凝土造,99年4月9日,九層,
RPPQMLQKNHMFFEA28CA,7,39.64,住家用,鋼筋混凝土造,99年4月9日,九層,二層
RPPQMLQKNHMFFEA28CA,7,1.87,見其他登記事項,鋼筋混凝土造,99年4月9日,九層,
RPPQMLQKNHMFFEA28CA,7,5.17,停車空間,鋼筋混凝土造,99年4月9日,九層,地下二層
RPPQMLQKNHMFFEA28CA,7,20.16,見其他登記事項,鋼筋混凝土造,99年4月9日,九層,
RPQQMLQKNHMFFEA38CA,35,105.44,住家用,鋼筋混凝土造,71年6月18日,四層,一層
RPTOMLMJOHMFFDA97CA,3,28.15,住家用,鋼筋混凝土造,103年4月18日,九層,五層
