鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
中山區,房地(土地+建物)+車位,長安段三小段481~510地號,21.66,商,,,1030227,土地2建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,259.8,3,2,3,有,無,92000000,414884,坡道平面,44.8,2800000,,RPRPMLMLNHMFFCA97CB
中山區,房地(土地+建物)+車位,長安段三小段481~510地號,26.0,商,,,1030120,土地2建物1車位2,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,340.38,3,2,3,有,無,89280000,329691,坡道平面,89.6,6600000,,RPSPMLMLNHMFFCA08CB
中山區,房地(土地+建物)+車位,長安段三小段481~510地號,26.0,商,,,1030120,土地2建物1車位2,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,340.38,3,2,3,有,無,90720000,335433,坡道平面,89.6,6600000,,RPTPMLMLNHMFFCA18CB
中山區,房地(土地+建物)+車位,長安段三小段481~510地號,26.0,商,,,1030120,土地2建物1車位2,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,340.38,3,2,3,有,無,91300000,340936,坡道平面,89.6,5800000,,RPUPMLMLNHMFFCA28CB
中山區,房地(土地+建物)+車位,長安段三小段481~510地號,26.0,商,,,1030120,土地2建物1車位2,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,340.38,3,2,3,有,無,94700000,352899,坡道平面,89.6,6200000,,RPVPMLMLNHMFFCA38CB
中山區,房地(土地+建物)+車位,長安段三小段481~510地號,26.0,商,,,1030121,土地2建物1車位2,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,340.38,3,2,3,有,無,100900000,376027,坡道平面,89.6,6600000,,RPXPMLMLNHMFFCA58CB
中山區,房地(土地+建物)+車位,長安段三小段481~510地號,26.0,商,,,1030223,土地2建物1車位2,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,340.38,3,2,3,有,無,106600000,401148,坡道平面,89.6,6000000,,RPOQMLMLNHMFFCA77CB
中山區,房地(土地+建物)+車位,長安段三小段481~510地號,26.0,商,,,1030122,土地2建物1車位2,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,340.38,3,2,3,有,無,109420000,406811,坡道平面,89.6,7400000,,RPPQMLMLNHMFFCA87CB
中山區,房地(土地+建物)+車位,長安段三小段481~510地號,26.0,商,,,1030221,土地2建物1車位2,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,340.38,3,2,3,有,無,115900000,435840,坡道平面,89.6,6600000,,RPRQMLMLNHMFFCA08CB
中山區,房地(土地+建物)+車位,長安段三小段481~510地號,25.18,商,,,1030120,土地2建物1車位2,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,332.4,3,2,3,有,無,118000000,458814,坡道平面,89.6,6600000,,RPSQMLMLNHMFFCA18CB
中山區,房地(土地+建物)+車位,長安段三小段481~510地號,21.66,商,,,1030208,土地2建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,259.8,3,2,3,有,無,89880000,404093,坡道平面,44.8,3000000,,RPTQMLMLNHMFFCA28CB
中山區,房地(土地+建物)+車位,長安段三小段481~510地號,21.66,商,,,1030227,土地2建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,259.8,3,2,3,有,無,86000000,386047,坡道平面,44.8,3000000,,RPUQMLMLNHMFFCA38CB
中山區,房地(土地+建物)+車位,長安段三小段481~510地號,21.66,商,,,1030223,土地2建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,259.8,3,2,3,有,無,88400000,397209,坡道平面,44.8,3000000,,RPVQMLMLNHMFFCA48CB
中山區,房地(土地+建物)+車位,長安段三小段451~480地號,21.66,商,,,1030221,土地2建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,259.8,3,2,3,有,無,94100000,424651,坡道平面,44.8,2800000,,RPWQMLMLNHMFFCA58CB
