鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
大同區,建物,臺北市大同區太原路31~60號,0.0,商,,,1051116,土地0建物1車位0,見其他登記事項,3,公寓(5樓含以下無電梯),住商用,磚造,,250.36,0,0,0,無,無,無,135337,541,,0.0,0,,RPOOMLNKKILFFBA27CC
大同區,建物,臺北市大同區華陰街181~210號,0.0,商,,,1051116,土地0建物1車位0,見其他登記事項,3,公寓(5樓含以下無電梯),住家用,磚造,,218.19,0,0,0,無,無,無,178022,816,,0.0,0,,RPPOMLNKKILFFBA37CC
大同區,建物,臺北市大同區安西街1~30號,0.0,商,,,1051126,土地0建物1車位0,全,3,透天厝,,加強磚造,,128.85,2,3,2,有,無,無,30000,233,,0.0,0,,RPSOMLNKKILFFBA67CC
大安區,建物,臺北市大安區忠孝東路四段91~120號,0.0,商,,,1051114,土地0建物1車位0,見其他登記事項,12,店面(店鋪),住家用,鋼筋混凝土造,0581022,104.76,0,0,0,無,有,無,460000,4391,,0.0,0,租賃範圍:一樓西區部分,RPOOMLNKKILFFFA67CC
中山區,房地(土地+建物),臺北市中山區中原街31~60號,111.0,住,,,1051208,土地1建物1車位0,全,2,透天厝,,加強磚造,,176.3,0,0,0,無,無,無,60000,340,,0.0,0,,RPQNMLOKKILFFCA57CC
信義區,建物,臺北市信義區忠孝東路四段553巷22弄1~30號,0.0,住,,,1051201,土地0建物1車位0,見其他登記事項,5,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,,174.56,2,1,1,有,無,有,65000,372,,0.0,0,,RPWNMLPKKILFFDA38CC
中山區,建物,臺北市中山區中山北路二段61~90號,0.0,商,,,1051118,土地0建物1車位0,見其他登記事項,4,店面(店鋪),住商用,加強磚造,0560518,26.8,0,0,0,無,無,無,90000,3358,,0.0,0,租賃範圍:一樓部分，約三分之一面積,RPQQMLQKKILFFCA08CC
信義區,建物,臺北市信義區嘉興街151~180號,0.0,住,,,1051207,土地0建物1車位0,全,2,透天厝,,加強磚造,,143.02,0,0,0,無,無,無,48000,336,,0.0,0,,RPVNMLTKKILFFDA68CC
士林區,建物,臺北市士林區磺溪街50巷1~30號,76.0,住,,,1051216,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0540730,104.3,3,2,1,有,無,無,25000,240,,0.0,0,,RPOOMLLLKILFFEA47CC
萬華區,房地(土地+建物),臺北市萬華區中華路二段1~30號,70.99,商,,,1051207,土地1建物3車位0,見其他登記事項,7,店面(店鋪),商業用,鋼筋混凝土造,0690822,563.51,0,0,0,無,無,無,100000,177,,0.0,0,,RPUNMLMLKILFFBA77CC
大同區,建物,臺北市大同區太原路31~60號,0.0,商,,,1051116,土地0建物1車位0,見其他登記事項,4,公寓(5樓含以下無電梯),住商用,加強磚造,,497.4,0,0,0,無,無,無,156641,315,,0.0,0,"本案只承租2-4樓,有二位承租人",RPOPMLSLKILFFBA97CC
北投區,建物,臺北市北投區中和街301~330號,0.0,商,,,1051204,土地0建物0車位0,全,3,透天厝,住商用,加強磚造,0600416,125.76,3,2,2,有,無,有,26000,207,,0.0,0,承租部分面積,RPVOMLSLKILFFEA88CC
北投區,建物,臺北市北投區中和街錫安巷66弄1~30號,0.0,住,,,1051231,土地0建物1車位1,全,2,透天厝,住家用,鋼筋混凝土造,0831012,318.51,5,3,3,有,有,有,80000,251,一樓平面,0.0,0,,RPSNMLOJJHMFFEA77CC
萬華區,建物,臺北市萬華區德昌街1~30號,0.0,住,,,1051226,土地0建物1車位0,全,3,透天厝,住家用,加強磚造,0580501,233.24,0,0,0,無,無,無,65000,279,,0.0,0,,RPUOMLOJJHMFFBA77CC
中正區,建物,臺北市中正區中華路一段85巷1~30號,0.0,商,,,1051220,土地0建物1車位0,全,4,透天厝,,加強磚造,,294.23,0,0,0,無,無,無,67000,228,,0.0,0,含增建或未登記建物。,RPXNMLQJJHMFFBA28DC
中正區,建物,臺北市中正區延平南路151~180號,0.0,商,,,1051220,土地0建物2車位0,見其他登記事項,4,公寓(5樓含以下無電梯),,鋼筋混凝土造,,465.03,0,0,0,無,無,無,105500,227,,0.0,0,,RPOOMLQJJHMFFBA47DC
士林區,建物,臺北市士林區後街21巷31~60號,0.0,住,,,1051219,土地0建物1車位0,全,2,透天厝,住家用,磚造,0490916,58.7,2,1,2,有,無,無,20000,341,,0.0,0,,RPSOMLKKJHMFFEA57CC
大同區,房地(土地+建物),臺北市大同區赤峰街1~30號,49.0,住,,,1060202,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0720129,166.46,4,3,4,有,無,無,70000,421,,0.0,0,,RPSNMLQKKHMFFBA87CC
信義區,建物,臺北市信義區基隆路一段147巷5弄1~30號,0.0,住,,,1060220,土地0建物2車位0,見其他登記事項,5,店面(店鋪),商業用,鋼筋混凝土造,0841120,197.55,0,0,0,無,有,無,80000,405,,0.0,0,,RPSPMLMJLHMFFDA87CC
中山區,建物,臺北市中山區民權東路二段121~150號,0.0,商,,,1060426,土地0建物0車位0,全,3,透天厝,,加強磚造,,166.44,0,0,0,無,無,無,62000,373,,0.0,0,,RPXNMLMKNHMFFCA38CC
中山區,建物,臺北市中山區中山北路一段53巷1~30號,0.0,商,,,1060501,土地0建物1車位0,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0971030,106.53,1,2,1,有,有,有,65000,610,,0.0,0,租金含管理費、網路及IP電視費用。,RPPNMLQKNHMFFCA97CC
中山區,建物,臺北市中山區建國北路二段1~30號,0.0,住,,,1060506,土地0建物1車位0,四層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0950713,72.75,1,2,1,有,有,有,35000,481,,0.0,0,租金含管理費。,RPVNMLQKNHMFFCA58CC
中山區,建物,臺北市中山區長春路151~180號,0.0,商,,,1060419,土地0建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961127,198.94,3,2,2,有,有,有,65575,330,,0.0,0,,RPOOMLQKNHMFFCA97CC
中山區,建物,臺北市中山區龍江路370巷31~60號,0.0,商,,,1060430,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711214,92.83,3,2,2,有,無,有,25000,269,,0.0,0,,RPPOMLQKNHMFFCA08CC
中山區,建物,臺北市中山區中山北路二段151~180號,0.0,商,,,1060505,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0951129,64.88,1,1,1,有,有,有,40000,617,,0.0,0,,RPSOMLQKNHMFFCA38CC
中山區,建物,臺北市中山區林森北路571~600號,0.0,商,,,1060503,土地0建物1車位0,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000726,89.64,1,1,1,有,有,有,57000,636,,0.0,0,,RPTOMLQKNHMFFCA48CC
中山區,建物,臺北市中山區中山北路二段77巷1~30號,0.0,商,,,1060515,土地0建物1車位1,十層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0901112,105.42,3,1,1,有,有,有,40000,379,坡道平面,26.24,0,,RPVOMLQKNHMFFCA68CC
中山區,建物,臺北市中山區中山北路二段77巷1~30號,0.0,商,,,1060515,土地0建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981027,84.44,2,1,1,有,有,有,46000,545,,0.0,0,,RPWOMLQKNHMFFCA78CC
中山區,建物,臺北市中山區新生北路二段31~60號,0.0,商,,,1060504,土地0建物1車位0,十五層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850718,66.28,2,2,1,有,有,有,36000,543,,0.0,0,,RPXOMLQKNHMFFCA88CC
中山區,建物,臺北市中山區民生東路二段1~30號,0.0,商,,,1060419,土地0建物1車位0,九層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021112,152.79000000000002,2,2,2,有,有,有,72850,477,,0.0,0,,RPPPMLQKNHMFFCA18CC
內湖區,房地(土地+建物),臺北市內湖區內湖路一段91巷1~30號,83.64,住,,,1060515,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730319,94.45,3,1,2,有,無,有,27000,286,,0.0,0,,RPSPMLQKNHMFFCA48CC
中山區,建物,臺北市中山區中山北路二段151~180號,0.0,商,,,1060421,土地0建物1車位0,四層,14,套房(1房1廳1衛),住家用,鋼骨鋼筋混凝土造,0951129,41.45,1,1,1,有,有,有,30000,724,,0.0,0,,RPUPMLQKNHMFFCA68CC
內湖區,建物,臺北市內湖區成功路五段391~420號,0.0,住,,,1060426,土地0建物1車位0,一層,19,店面(店鋪),商業用,鋼筋混凝土造,0891016,85.72,0,2,1,有,有,無,45000,525,,0.0,0,,RPQQMLQKNHMFFCA38CC
中山區,建物,臺北市中山區錦西街1~30號,0.0,商,,,1060424,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010924,213.4,3,2,2,有,有,有,88000,412,,0.0,0,,RPRQMLQKNHMFFCA48CC
中山區,建物,臺北市中山區建國北路二段3巷1~30號,0.0,住,,,1060510,土地0建物1車位0,二層,9,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0811217,82.4,1,1,1,有,有,有,28000,340,,0.0,0,,RPSQMLQKNHMFFCA58CC
內湖區,建物,臺北市內湖區金湖路155巷1~30號,0.0,住,,,1060506,土地0建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020221,93.81,3,2,2,有,無,有,26000,277,,0.0,0,,RPTQMLQKNHMFFCA68CC
內湖區,建物,臺北市內湖區臺北市內湖區民權東路六段151~180號,0.0,商,,,1060405,土地0建物1車位0,一層,14,店面(店鋪),商業用,鋼筋混凝土造,0810629,336.67,0,0,0,無,無,無,100000,297,,0.0,0,,RPUQMLQKNHMFFCA78CC
