編號,車位類別,車位價格,車位面積平方公尺
RPSNMLOJJHMFFEA77CC,一樓平面,0,
RPVOMLQKNHMFFCA68CC,坡道平面,0,26.24
RPPRMLQKNHMFFCA38CC,坡道平面,0,
RPPRMLQKNHMFFCA38CC,坡道平面,0,
RPVNMLQKNHMFFDA68CC,坡道機械,0,12.50
RPTPMLQKNHMFFBA48CC,升降機械,0,
RPVNMLQKNHMFFEA78CC,坡道平面,0,23.99
RPTPMLQKNHMFFEA78CC,坡道平面,0,36.54
RPROMLQKNHMFFAA08CC,坡道平面,0,30.32
RPXNMLRKNHMFFEA09CC,坡道平面,0,
RPPOMLRKNHMFFEA38CC,坡道平面,0,
RPROMLRKNHMFFEA58CC,坡道平面,0,
RPVQMLRKNHMFFCA98CC,坡道平面,0,
RPVNMLSKNHMFFCA78CC,坡道平面,0,
RPVNMLSKNHMFFCA78CC,坡道平面,0,
RPVNMLSKNHMFFCA78CC,坡道平面,0,
RPVNMLSKNHMFFCA78CC,坡道平面,0,
RPVNMLSKNHMFFCA78CC,坡道平面,0,
RPVNMLSKNHMFFCA78CC,坡道平面,0,
RPUOMLSKNHMFFCA78CC,升降機械,0,20.52
RPPPMLSKNHMFFEA58CC,塔式車位,0,
RPWOMLTKNHMFFDA66DC,坡道機械,0,
RPUOMLTKNHMFFDA98CC,坡道平面,0,42.92
RPQOMLTKNHMFFBA38CC,坡道平面,0,33.70
RPRPMLTKNHMFFCA68CC,坡道平面,0,
RPPNMLKLNHMFFCA47CC,坡道平面,0,
RPSNMLKLNHMFFCA77CC,坡道平面,0,
RPPNMLLLNHMFFEA77CC,坡道平面,0,39.08
RPRNMLMLNHMFFEA08CC,坡道平面,0,
RPTNMLMLNHMFFEA38DC,升降機械,0,18.00
RPVNMLMLNHMFFEA58DC,坡道平面,5682,39.61
RPXQMLMLNHMFFCA78CC,坡道平面,0,29.68
RPRRMLMLNHMFFCA28CC,坡道平面,5000,28.83
RPXOMLMLNHMFFDA68CC,坡道平面,0,22.44
RPTPMLMLNHMFFDA38CC,坡道平面,0,
