編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPPMLMKQHLFFAB67CA,21,113.15,住家用,鋼筋混凝土造,84年1月7日,十三層,八層
RPPPMLMKQHLFFAB67CA,21,20.50,見其他登記事項,鋼筋混凝土造,84年1月7日,十三層,
RPPPMLMKQHLFFAB67CA,21,23.53,共有部份,鋼筋混凝土造,84年1月7日,十三層,
RPTOMLRKNHMFFAB28CA,10,82.35,見其他登記事項,鋼筋混凝土造,96年7月5日,十四層,二層
RPTOMLRKNHMFFAB28CA,10,43.61,見其他登記事項,鋼筋混凝土造,96年7月5日,十五層,
RPTOMLRKNHMFFAB28CA,10,11.15,見其他登記事項,鋼筋混凝土造,96年7月5日,十五層,
RPTPMLRKNHMFFAB38CA,12,33.00,見其他登記事項,鋼筋混凝土造,94年6月2日,十四層,十三層
RPTPMLRKNHMFFAB38CA,12,13.10,見其他登記事項,鋼筋混凝土造,94年6月2日,十四層,
RPPQMLRKNHMFFAB08CA,10,83.60,見其他登記事項,鋼筋混凝土造,96年7月5日,十四層,五層
RPPQMLRKNHMFFAB08CA,10,43.91,見其他登記事項,鋼筋混凝土造,96年7月5日,十五層,
RPPQMLRKNHMFFAB08CA,10,11.60,見其他登記事項,鋼筋混凝土造,96年7月5日,十五層,
RPPNMLSKNHMFFAB87CA,23,143.88,住家用,鋼筋混凝土造,83年3月17日,十三層,七層
RPPNMLSKNHMFFAB87CA,23,30.68,見其他登記事項,鋼筋混凝土造,83年3月17日,十三層,
RPPNMLSKNHMFFAB87CA,23,.12,住家用,鋼筋混凝土造,83年3月17日,十三層,一層
RPPNMLSKNHMFFAB87CA,23,7.91,共有部份,鋼筋混凝土造,83年3月17日,十三層,
RPPNMLSKNHMFFAB87CA,23,2.21,見其他登記事項,鋼筋混凝土造,83年3月17日,十三層,
RPUNMLKLNHMFFAB67CA,16,70.16,見其他登記事項,鋼筋混凝土造,90年8月10日,十四層,二層
RPUNMLKLNHMFFAB67CA,16,9.15,共有部份,鋼筋混凝土造,90年8月10日,十四層,
RPUNMLKLNHMFFAB67CA,16,14.73,共有部份,鋼筋混凝土造,90年8月10日,十四層,
RPPNMLMLNHMFFAB37CA,20,28.58,住家用,見其他登記事項,86年1月31日,二十八層,二十四層
RPPNMLMLNHMFFAB37CA,20,8.72,見其他登記事項,見其他登記事項,86年1月31日,二十八層,
RPPNMLMLNHMFFAB37CA,20,1.21,見其他登記事項,見其他登記事項,86年1月31日,二十八層,
RPPNMLMLNHMFFAB37CA,20,4.73,共有部份,見其他登記事項,86年1月31日,二十八層,
RPQNMLMLNHMFFAB47CA,20,25.30,住家用,見其他登記事項,86年1月31日,二十八層,十五層
RPQNMLMLNHMFFAB47CA,20,3.48,共有部份,見其他登記事項,86年1月31日,二十八層,
RPQNMLMLNHMFFAB47CA,20,7.75,見其他登記事項,見其他登記事項,86年1月31日,二十八層,
RPQNMLMLNHMFFAB47CA,20,.92,見其他登記事項,見其他登記事項,86年1月31日,二十八層,
