編號,車位類別,車位價格,車位面積平方公尺
RPPPMLMKQHLFFAB67CA,坡道平面,0,
RPPPMLMKQHLFFAB67CA,坡道平面,0,
RPTOMLRKNHMFFAB28CA,坡道平面,0,23.41
RPPQMLRKNHMFFAB08CA,坡道平面,1200000,23.41
RPPNMLSKNHMFFAB87CA,坡道機械,0,
RPQPMLLMNHMFFAB67CA,坡道平面,1000000,23.17
RPQOMLNJOHMFFAB57CA,坡道平面,2300000,35.54
RPROMLNJOHMFFAB67CA,坡道平面,1400000,19.84
RPROMLNKOHMFFAB77CA,坡道平面,1100000,33.40
RPTOMLNKOHMFFAB97CA,坡道平面,1200000,33.40
RPUOMLNKOHMFFAB08CA,坡道平面,1200000,33.40
RPXTMLRKNHMFFCB76CA,坡道平面,0,21.54
RPUQMLSKNHMFFCB88CA,坡道平面,0,
RPOOMLTKNHMFFCB18CA,坡道平面,1250000,23.45
RPROMLTKNHMFFCB48CA,坡道平面,1200000,23.45
RPROMLTKNHMFFCB48CA,坡道平面,1200000,23.45
RPQOMLMLNHMFFCB77CA,坡道機械,0,11.57
RPQOMLMLNHMFFCB77CA,坡道機械,0,11.57
RPWPMLMLNHMFFCB48CA,坡道平面,0,27.22
RPWPMLMLNHMFFCB48CA,坡道平面,0,27.22
RPWPMLMLNHMFFCB48CA,坡道平面,0,35.94
RPTQMLMLNHMFFCB28CA,坡道平面,1200000,28.18
RPWOMLQLNHMFFCB78CA,坡道機械,650000,14.29
RPXOMLQLNHMFFCB88CA,坡道平面,0,23.48
RPXOMLQLNHMFFCB88CA,坡道平面,0,23.48
RPVNMLNJOHMFFCB18CA,坡道平面,1300000,
RPQRMLNKOHMFFCB18CA,坡道平面,1385000,29.77
RPQRMLNKOHMFFCB18CA,坡道平面,1415000,29.77
RPRRMLNKOHMFFCB28CA,坡道平面,1385000,29.77
RPRRMLNKOHMFFCB28CA,坡道平面,1415000,29.77
RPSRMLNKOHMFFCB38CA,坡道平面,1385000,29.77
RPSRMLNKOHMFFCB38CA,坡道平面,1415000,29.77
RPURMLNKOHMFFCB58CA,坡道平面,1385000,29.77
RPURMLNKOHMFFCB58CA,坡道平面,1415000,29.77
RPPOMLOKOHMFFCB87CA,坡道平面,1385000,29.77
RPPOMLOKOHMFFCB87CA,坡道平面,1415000,29.77
RPROMLOKOHMFFCB08CA,坡道平面,1385000,29.77
RPROMLOKOHMFFCB08CA,坡道平面,1415000,29.77
RPSOMLOKOHMFFCB18CA,坡道平面,1275000,29.77
RPSOMLOKOHMFFCB18CA,坡道平面,1295000,29.77
RPWNMLPLNHMFFAL76CA,坡道機械,500000,
RPVPMLTKNHMFFCL37CA,坡道平面,0,
RPOQMLTKNHMFFCL76CA,坡道平面,0,
RPXQMLTKNHMFFCL67CA,坡道平面,0,
RPTOMLQLNHMFFFL17CA,坡道機械,0,20.47
RPPOMLRKNHMFFHL96CA,坡道平面,0,
RPPPMLNLNHMFFHL76CA,坡道機械,0,
RPWNMLPLNHMFFHL47CA,坡道平面,0,
RPQNMLRLNHMFFHL07CA,坡道機械,0,
RPPNMLLMNHMFFHL09CA,坡道平面,0,26.45
RPSNMLRKNHMFFIL27CA,升降機械,0,
RPRNMLQJOHMFFGL86CA,坡道平面,1250000,31.91
RPPOMLQJOHMFFGL76CA,坡道機械,0,
RPQNMLKKOHMFFGL88CA,坡道平面,1200000,26.52
RPRNMLKKOHMFFGL98CA,坡道平面,1100000,26.52
RPSNMLKKOHMFFGL09CA,坡道平面,1000000,26.52
RPTNMLKKOHMFFGL56CA,坡道平面,1100000,26.52
RPUNMLKKOHMFFGL66CA,坡道平面,1000000,26.52
RPSOMLMJOHMFFGL66CA,坡道機械,0,
RPPNMLQLNHMFFGL76CA,一樓平面,0,
RPRNMLPLNHMFFGL86CA,坡道機械,0,
RPXNMLTKNHMFFGL77CA,坡道平面,0,45.33
RPSNMLTJOHMFFFL17CA,坡道機械,0,
RPRNMLOKOHMFFFL66CA,升降機械,0,
RPXNMLMLNHMFFFL07CA,坡道機械,0,
