編號,車位類別,車位價格,車位面積平方公尺
RPROMLQLKILFFBB08CC,坡道平面,0,28.13
RPVQMLTLKILFFBB98CC,其他,0,
RPXOMLNJJHMFFCB28DC,其他,0,
RPSPMLQKJHMFFBB08CC,坡道平面,0,
RPSPMLQKJHMFFBB08CC,坡道平面,0,
RPSPMLQKJHMFFBB08CC,坡道平面,0,
RPPNMLRJKHMFFAB57CC,坡道平面,0,23.33
RPPNMLRJKHMFFAB57CC,坡道平面,0,23.33
RPORMLQKNHMFFCB38CC,坡道平面,0,18.57
RPWNMLSKNHMFFAL17CC,坡道平面,13500,15.02
RPPOMLSKNHMFFCB38CC,坡道平面,0,17.63
RPPOMLSKNHMFFCB38CC,坡道平面,0,20.10
RPPOMLSKNHMFFCB38CC,坡道平面,0,20.10
RPSQMLTKNHMFFBB88CC,坡道機械,1800,15.94
RPORMLTKNHMFFBB58CC,坡道機械,2000,15.94
RPRRMLTKNHMFFCB98CC,坡道平面,2500,37.80
RPXRMLTKNHMFFCB96CC,坡道平面,0,20.27
RPXRMLTKNHMFFCB96CC,坡道機械,0,10.68
RPQOMLTKNHMFFCB68DC,坡道平面,0,
RPTOMLMLNHMFFBB28DC,坡道平面,0,
RPQNMLMLNHMFFIL86CC,坡道機械,0,
RPXOMLNLNHMFFCB78CC,坡道平面,0,
RPXOMLNLNHMFFCB78CC,坡道平面,0,
RPXOMLNLNHMFFCB78CC,坡道平面,0,
RPXPMLNLNHMFFCB88CC,坡道平面,0,
RPXPMLNLNHMFFCB88CC,坡道平面,0,
RPPQMLNLNHMFFCB18CC,坡道機械,0,
RPRQMLNLNHMFFCB38CC,坡道平面,0,
RPRQMLNLNHMFFCB38CC,坡道機械,0,
RPORMLNLNHMFFCB18CC,坡道平面,0,
RPORMLNLNHMFFCB18CC,坡道機械,0,
RPORMLNLNHMFFCB18CC,坡道機械,0,
RPQRMLNLNHMFFCB38CC,坡道機械,0,
RPSRMLNLNHMFFCB58CC,坡道平面,0,
RPXRMLNLNHMFFCB09CC,坡道平面,0,32.10
RPPSMLNLNHMFFCB38CC,坡道平面,0,34.85
RPORMLNLNHMFFBB08CC,坡道平面,0,
RPSOMLNLNHMFFAB08CC,坡道機械,0,
RPRQMLOLNHMFFAB28CC,坡道平面,0,
RPSOMLOLNHMFFCB38CC,坡道平面,0,
RPSOMLOLNHMFFCB38CC,坡道機械,0,
RPPPMLPLNHMFFCB28CC,坡道平面,0,14.96
RPSPMLPLNHMFFCB58CC,坡道平面,4000,32.43
RPXPMLPLNHMFFCB09CC,坡道平面,0,
RPOQMLPLNHMFFCB28CC,坡道平面,0,
RPPQMLPLNHMFFCB38CC,坡道平面,3000,37.80
RPQQMLPLNHMFFCB48CC,坡道平面,0,
RPTQMLPLNHMFFCB78CC,坡道平面,2500,35.91
RPXOMLPLNHMFFAB78CC,坡道機械,0,9.18
RPVSMLPLNHMFFBB09CC,坡道平面,3200,31.88
RPWSMLPLNHMFFBB56CC,坡道平面,3200,31.88
RPQNMLQLNHMFFFL96CC,坡道機械,0,
RPVOMLQLNHMFFBB78CC,坡道平面,3200,31.88
RPTPMLQLNHMFFBB68CC,坡道平面,3500,27.23
RPOQMLQLNHMFFBB28CC,坡道平面,0,27.23
RPRPMLQLNHMFFCB58CC,坡道平面,0,28.84
RPRPMLQLNHMFFCB58CC,坡道平面,0,28.84
RPSRMLLMNHMFFBB38CC,坡道平面,0,15.04
RPSRMLLMNHMFFBB38CC,坡道機械,0,9.32
RPXQMLLMNHMFFCB88CC,坡道機械,0,
RPQRMLLMNHMFFCB28CC,坡道平面,0,
RPQRMLLMNHMFFCB28CC,坡道平面,0,
RPTRMLLMNHMFFCB58CC,坡道平面,0,
RPTRMLLMNHMFFCB58CC,坡道平面,0,
