編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUNMLNJJHMFFBC57CA,36,76.44,住家用,鋼筋混凝土造,70年1月28日,四層,三層
RPVNMLNJJHMFFBC67CA,61,29.79,住家用,磚造,44年8月1日,一層,一層
RPQNMLMKJHMFFBC17CA,40,57.77,住家用,鋼筋混凝土加強磚造,65年10月20日,四層,四層
RPPOMLKLJHMFFBC07CA,36,79.34,住家用,鋼筋混凝土造,70年6月11日,四層,一層 停車場
RPOOMLNLJHMFFBC27CA,1,11.96,見其他登記事項,鋼筋混凝土造,104年10月20日,十四層,
RPOOMLNLJHMFFBC27CA,1,.00,見其他登記事項,鋼筋混凝土造,104年10月20日,十四層,七層
RPOOMLNLJHMFFBC27CA,1,.00,見其他登記事項,鋼筋混凝土造,104年10月20日,十四層,十三層
RPTNMLMKJHMFFBC47CA,37,78.55,住家用,鋼筋混凝土造,68年8月20日,四層,一層
RPUNMLQKJHMFFBC97CA,72,70.52,住家用,木造,34年1月1日,一層,一層
RPSNMLTKJHMFFBC18DA,39,53.59,住家用,鋼筋混凝土加強磚造,66年7月30日,四層,三層
RPROMLTJKHMFFBC08CA,38,39.52,見其他登記事項,鋼筋混凝土造,67年11月24日,四層,三層
RPROMLTJKHMFFBC08CA,38,11.20,共用部份,鋼筋混凝土造,67年11月24日,四層,
RPROMLTJKHMFFBC08CA,38,11.05,共用部份,鋼筋混凝土造,67年11月24日,四層,
RPROMLTJKHMFFBC08CA,38,38.95,見其他登記事項,鋼筋混凝土造,67年11月24日,四層,三層
RPPNMLMLKHMFFBC27CA,37,84.42,住家用,鋼筋混凝土造,68年11月9日,四層,四層
RPXNMLKLKHMFFBC87CA,34,74.12,見其他登記事項,鋼筋混凝土造,71年12月15日,五層,防空避難室
RPXNMLKLKHMFFBC87CA,34,62.13,見其他登記事項,鋼筋混凝土造,71年12月15日,五層,防空避難室
RPTNMLLJLHMFFBC47CA,41,68.17,住家用,鋼筋混凝土加強磚造,65年6月14日,四層,一層
RPTNMLMJLHMFFBC57CA,39,79.11,住家用,鋼筋混凝土造,67年7月13日,三層,二層
RPSPMLQJPHMFFCC58CA,21,55.46,住家用,鋼筋混凝土造,85年2月12日,五層,四層
RPSPMLQJPHMFFCC58CA,21,6.95,共用部份,鋼筋混凝土造,85年2月12日,五層,
RPSPMLQJPHMFFCC58CA,21,8.61,共用部份,鋼筋混凝土造,85年2月12日,五層,
RPWNMLNKLHMFFBC08CA,52,38.70,住家用,加強磚造,53年11月1日,二層,一層
RPQNMLKKLHMFFBC17CA,55,85.44,住家用,磚造,51年3月1日,二層,一層 二層
RPOQMLRKLHMFFBC97CA,56,443.55,,加強磚造,49年10月30日,三層,一層 二層 地下層
RPOQMLRKLHMFFBC97CA,,154.44,住家用,加強磚造,,三層,三層
RPPNMLKLLHMFFBC17CA,38,39.52,見其他登記事項,鋼筋混凝土造,67年11月24日,四層,三層
RPPNMLKLLHMFFBC17CA,38,11.20,共用部份,鋼筋混凝土造,67年11月24日,四層,
RPPNMLKLLHMFFBC17CA,38,38.95,見其他登記事項,鋼筋混凝土造,67年11月24日,四層,三層
RPPNMLKLLHMFFBC17CA,38,11.05,共用部份,鋼筋混凝土造,67年11月24日,四層,
RPPNMLLKMHMFFBC27CA,70,121.39,住家用,磚造,35年10月1日,二層,一層 二層 騎樓
RPPOMLQJPHMFFCC18CA,20,85.52,住家用,鋼筋混凝土造,86年7月18日,十五層,十四層
RPPOMLQJPHMFFCC18CA,20,1.97,共用部份,鋼筋混凝土造,86年7月18日,四層,
RPPOMLQJPHMFFCC18CA,20,10.83,共用部份,鋼筋混凝土造,86年7月18日,十五層,
RPPOMLQJPHMFFCC18CA,20,14.15,共用部份,鋼筋混凝土造,86年7月18日,十五層,
RPRNMLOKMHMFFBC77CA,44,100.24,住家用,鋼筋混凝土加強磚造,61年11月6日,五層,四層
RPVNMLQJMHMFFBC28CA,38,38.95,,鋼筋混凝土造,67年11月24日,四層,三層
RPVNMLQJMHMFFBC28CA,38,10.51,共用部份,鋼筋混凝土造,67年11月24日,四層,
RPWNMLMKPHMFFBC58EA,22,113.63,住家用,鋼筋混凝土造,84年5月25日,七層,三層
RPWNMLMKPHMFFBC58EA,22,58.92,共用部份,鋼筋混凝土造,84年5月25日,七層,
RPRNMLMKPHMFFBC08EA,18,92.47,住家用,鋼筋混凝土造,88年1月14日,十五層,五層
RPRNMLMKPHMFFBC08EA,18,13.49,共用部份,鋼筋混凝土造,88年1月14日,十五層,
RPRNMLMKPHMFFBC08EA,18,5.18,共用部份,鋼筋混凝土造,88年1月14日,十五層,
RPRNMLMKPHMFFBC08EA,18,2.19,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPRNMLMKPHMFFBC08EA,18,1.06,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPRNMLMKPHMFFBC08EA,18,36.53,共用部份,鋼筋混凝土造,88年1月14日,十五層,
RPQNMLPLNHMFFCC28EA,19,108.14,住家用,鋼筋混凝土造,87年10月1日,七層,二層
RPQNMLPLNHMFFCC28EA,19,17.31,共用部份,鋼筋混凝土造,87年10月1日,七層,
RPQNMLPLNHMFFCC28EA,19,6.31,共用部份,鋼筋混凝土造,87年10月1日,七層,
RPUOMLLJNHMFFCC97CA,22,152.03,住家用,鋼筋混凝土造,84年1月17日,五層,一層
RPUOMLLJNHMFFCC97CA,22,16.57,共用部份,鋼筋混凝土造,84年1月17日,五層,
RPUOMLLJNHMFFCC97CA,22,2.91,見其他登記事項,鋼筋混凝土造,84年1月17日,四層,一層 二層 三層 四層
RPUNMLMJNHMFFCC97CA,21,77.03,住家用,鋼筋混凝土造,85年5月3日,五層,一層
RPUNMLMJNHMFFCC97CA,21,9.34,共用部份,鋼筋混凝土造,85年5月3日,五層,
RPVNMLMJNHMFFCC08CA,11,198.70,見其他登記事項,鋼筋混凝土造,94年10月27日,三層,一層 二層 三層
RPVNMLNJNHMFFCC18CA,20,79.04,住家用,鋼筋混凝土造,86年7月18日,十三層,十二層
RPVNMLNJNHMFFCC18CA,20,1.97,共用部份,鋼筋混凝土造,86年7月18日,四層,
RPVNMLNJNHMFFCC18CA,20,12.00,共用部份,鋼筋混凝土造,86年7月18日,十三層,
RPVNMLNJNHMFFCC18CA,20,10.19,共用部份,鋼筋混凝土造,86年7月18日,十三層,
RPWNMLNJNHMFFCC28CA,18,85.02,住家用,鋼筋混凝土造,87年12月10日,五層,二層
RPWNMLNJNHMFFCC28CA,22,3.34,見其他登記事項,鋼筋混凝土造,84年1月17日,四層,一層 二層 三層 四層
RPWNMLNJNHMFFCC28CA,18,33.55,共用部份,鋼筋混凝土造,87年12月10日,五層,
RPSNMLSJNHMFFCC38CA,21,89.69,住家用,鋼筋混凝土造,84年12月20日,七層,六層
RPSNMLSJNHMFFCC38CA,21,7.46,共用部份,鋼筋混凝土造,84年12月20日,七層,
RPPNMLLLNHMFFCC57CA,1,87.04,見其他登記事項,鋼筋混凝土造,105年1月24日,十八層,三層
RPPNMLLLNHMFFCC57CA,1,.84,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPPNMLLLNHMFFCC57CA,1,51.43,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPPNMLLLNHMFFCC57CA,1,.02,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
RPPNMLLLNHMFFCC57CA,1,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPPNMLLLNHMFFCC57CA,1,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPSNMLLLNHMFFCC87CA,43,87.91,住家用,鋼筋混凝土加強磚造,62年12月3日,四層,四層
RPUNMLMLNHMFFCC18CA,3,113.04,見其他登記事項,鋼筋混凝土造,102年11月29日,七層,四層
RPUNMLMLNHMFFCC18CA,3,69.70,見其他登記事項,鋼筋混凝土造,102年11月29日,七層,
RPVNMLMLNHMFFCC28CA,22,2.91,見其他登記事項,鋼筋混凝土造,84年1月17日,四層,一層 二層 三層 四層
RPVNMLMLNHMFFCC28CA,22,117.67,住家用,鋼筋混凝土造,84年1月17日,五層,一層
RPVNMLMLNHMFFCC28CA,22,16.83,共用部份,鋼筋混凝土造,84年1月17日,五層,
RPVNMLSJNHMFFCC68CA,50,106.92,住家用,加強磚造,56年1月1日,一層,一層
RPTNMLTJNHMFFCC58CA,22,56.39,住家用,鋼筋混凝土造,84年8月1日,十二層,七層
RPTNMLTJNHMFFCC58CA,22,10.05,共用部份,鋼筋混凝土造,84年8月1日,十二層,
RPTNMLTJNHMFFCC58CA,22,2.68,共用部份,鋼筋混凝土造,84年8月1日,十二層,
RPUNMLTJNHMFFCC68CA,40,67.11,住家用,鋼筋混凝土造,66年1月5日,五層,五層
RPQOMLNJNHMFFCC77CA,21,84.91,住家用,鋼筋混凝土造,85年5月3日,五層,三層
RPQOMLNJNHMFFCC77CA,21,5.59,共用部份,鋼筋混凝土造,85年5月3日,五層,
RPQOMLNJNHMFFCC77CA,21,10.20,共用部份,鋼筋混凝土造,85年5月3日,五層,
RPVPMLPLNHMFFCC78CA,22,2.91,見其他登記事項,鋼筋混凝土造,84年1月17日,四層,一層 二層 三層 四層
RPVPMLPLNHMFFCC78CA,22,9.85,共用部份,鋼筋混凝土造,84年1月17日,五層,
RPVPMLPLNHMFFCC78CA,22,74.22,住家用,鋼筋混凝土造,84年1月17日,五層,五層
RPUNMLLKNHMFFCC18EA,34,59.86,住家用,鋼筋混凝土造,71年9月11日,五層,四層
RPUNMLKKNHMFFCC87CA,22,57.74,住家用,鋼筋混凝土造,84年2月28日,六層,四層
RPUNMLKKNHMFFCC87CA,22,9.00,共用部份,鋼筋混凝土造,84年2月28日,六層,
RPUNMLKKNHMFFCC87CA,22,9.63,共用部份,鋼筋混凝土造,84年2月28日,六層,
RPWNMLKKNHMFFCC08CA,22,58.45,住家用,鋼筋混凝土造,84年2月28日,六層,四層
RPWNMLKKNHMFFCC08CA,22,9.15,共用部份,鋼筋混凝土造,84年2月28日,六層,
RPWNMLKKNHMFFCC08CA,22,9.78,共用部份,鋼筋混凝土造,84年2月28日,六層,
RPPOMLNLNHMFFCC87CA,1,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
RPPOMLNLNHMFFCC87CA,1,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPPOMLNLNHMFFCC87CA,1,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPPOMLNLNHMFFCC87CA,1,.73,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPPOMLNLNHMFFCC87CA,1,31.13,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPPOMLNLNHMFFCC87CA,1,76.21,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,十九層
RPROMLTKNHMFFCC58CA,25,29.76,見其他登記事項,鋼筋混凝土造,81年2月12日,五層,地下層
RPROMLTKNHMFFCC58CA,25,4.74,共用部份,鋼筋混凝土造,81年2月12日,五層,
RPROMLTKNHMFFCC58CA,25,128.30,住家用,鋼筋混凝土造,81年2月12日,五層,五層
RPWOMLNLNHMFFCC58CA,20,105.88,住家用,鋼筋混凝土造,85年11月7日,七層,四層
RPWOMLNLNHMFFCC58CA,20,7.80,共用部份,鋼筋混凝土造,85年11月7日,七層,
RPWOMLNLNHMFFCC58CA,20,6.03,共用部份,鋼筋混凝土造,85年11月7日,七層,
RPPNMLSJNHMFFCC08CA,21,83.98,住家用,鋼筋混凝土造,85年3月9日,十六層,七層
RPPNMLSJNHMFFCC08CA,21,.07,共用部份,鋼筋混凝土造,85年3月9日,十七層,
RPPNMLSJNHMFFCC08CA,21,2.87,共用部份,鋼筋混凝土造,85年3月9日,十七層,
RPPNMLSJNHMFFCC08CA,21,17.27,共用部份,鋼筋混凝土造,85年3月9日,十六層,
RPRNMLMKNHMFFCC77CA,51,68.87,住家用,磚造,54年10月1日,一層,一層
RPWOMLKKNHMFFCC18CA,18,116.66,住家用,鋼筋混凝土造,88年8月19日,五層,二層
RPWOMLKKNHMFFCC18CA,18,7.55,共用部份,鋼筋混凝土造,88年8月19日,五層,
RPWOMLKKNHMFFCC18CA,18,.68,共用部份,鋼筋混凝土造,88年8月19日,五層,
RPVNMLTJNHMFFCC78CA,21,57.24,住家用,鋼筋混凝土造,85年3月9日,十七層,七層
RPVNMLTJNHMFFCC78CA,21,36.57,共用部份,鋼筋混凝土造,85年3月9日,十七層,
RPVNMLTJNHMFFCC78CA,21,1.94,共用部份,鋼筋混凝土造,85年3月9日,十七層,
RPVNMLTJNHMFFCC78CA,21,11.19,共用部份,鋼筋混凝土造,85年3月9日,十七層,
RPSNMLOJNHMFFCC97CA,19,89.09,住家用,鋼筋混凝土造,87年7月10日,五層,二層
RPSNMLOJNHMFFCC97CA,22,3.34,見其他登記事項,鋼筋混凝土造,84年1月17日,四層,一層 二層 三層 四層
RPSNMLOJNHMFFCC97CA,19,32.68,共用部份,鋼筋混凝土造,87年7月10日,五層,
RPPNMLPJNHMFFCC77CA,48,63.49,住家用,加強磚造,58年5月30日,三層,三層
RPQNMLQLNHMFFBC08CA,1,194.38,見其他登記事項,鋼筋混凝土造,105年2月5日,四層,一層 二層 四層 三層
RPQNMLQLNHMFFBC08CA,1,1.34,見其他登記事項,鋼筋混凝土造,104年11月16日,五層,
RPQNMLQLNHMFFBC08CA,1,.04,見其他登記事項,鋼筋混凝土造,104年11月16日,五層,二層
RPQNMLQLNHMFFBC08CA,1,1.34,見其他登記事項,鋼筋混凝土造,104年11月16日,五層,
RPQNMLQLNHMFFBC08CA,1,.05,見其他登記事項,鋼筋混凝土造,104年11月16日,五層,二層
RPQNMLQLNHMFFBC08CA,1,.84,見其他登記事項,鋼筋混凝土造,105年2月5日,一層,
RPPQMLNLNHMFFCC08CA,24,141.90,住家用,鋼筋混凝土造,81年11月3日,十七層,二層
RPPQMLNLNHMFFCC08CA,24,63.70,共用部份,鋼筋混凝土造,81年11月3日,十七層,
