編號,車位類別,車位價格,車位面積平方公尺
RPWNMLMKPHMFFBC58EA,坡道平面,650000,
RPRNMLMKPHMFFBC08EA,坡道平面,0,
RPPNMLLLNHMFFCC57CA,坡道平面,0,15.87
RPUNMLMLNHMFFCC18CA,坡道平面,1000000,27.94
RPROMLTKNHMFFCC58CA,坡道平面,0,29.75
RPVNMLTJNHMFFCC78CA,坡道平面,0,
RPPQMLNLNHMFFCC08CA,坡道平面,0,
RPPOMLMJOHMFFCC67CA,升降機械,600000,10.96
RPPQMLQLNHMFFCC38CA,坡道平面,1300000,42.95
RPRNMLLKNHMFFCC67CA,坡道機械,0,
RPQOMLTKNHMFFCC48CA,坡道平面,0,33.03
RPXNMLLJOHMFFCC28CA,坡道平面,0,
RPPNMLPKOHMFFBC97DA,坡道平面,500000,
RPOOMLMJOHMFFCC57CA,坡道機械,60,10.96
RPVPMLQLNHMFFCC88CA,坡道平面,1300000,15.87
RPRNMLQLNHMFFCC28CA,坡道平面,1100000,15.87
RPSNMLQLNHMFFCC38CA,坡道平面,1300000,15.87
RPTNMLQLNHMFFCC48CA,坡道平面,1200000,15.87
RPUNMLQLNHMFFCC58CA,坡道平面,1300000,13.47
RPWNMLQLNHMFFCC78CA,坡道平面,1100000,15.87
RPXNMLQLNHMFFCC88CA,坡道平面,1300000,15.87
RPOOMLQLNHMFFCC08CA,坡道平面,1300000,15.87
RPPOMLQLNHMFFCC18CA,坡道平面,1100000,15.87
RPROMLQLNHMFFCC38CA,坡道平面,900000,15.87
RPSOMLQLNHMFFCC48CA,坡道平面,1200000,15.87
RPSOMLQLNHMFFCC48CA,坡道平面,1200000,15.87
RPTOMLQLNHMFFCC58CA,坡道平面,1200000,15.87
RPTNMLSKNHMFFCC58CA,坡道平面,0,
RPPNMLMLNHMFFCC67CA,坡道平面,0,
RPVNMLPLNHMFFBC48CA,坡道平面,0,
RPSNMLQLNHMFFBC28CA,坡道平面,0,
RPRNMLTKNHMFFBC38CA,坡道平面,0,
RPVOMLQLNHMFFCC78CA,坡道平面,1200000,15.87
RPXOMLQLNHMFFCC98CA,坡道平面,1200000,15.87
RPPPMLQLNHMFFCC28CA,坡道平面,1500000,15.87
RPRPMLQLNHMFFCC48CA,坡道平面,1300000,15.87
RPSPMLQLNHMFFCC58CA,坡道平面,1200000,15.87
RPTPMLQLNHMFFCC68CA,坡道平面,1300000,15.87
RPWPMLQLNHMFFCC98CA,坡道平面,1200000,15.87
RPXPMLQLNHMFFCC09CA,坡道平面,1200000,13.47
RPOQMLQLNHMFFCC28CA,坡道平面,1300000,15.87
RPRPMLPLNHMFFCC38CA,坡道平面,950000,15.87
RPPOMLPLNHMFFCC08CA,坡道平面,0,
RPRPMLMJOHMFFCC97CA,坡道平面,0,
RPUPMLQLNHMFFCC78CA,坡道平面,0,34.65
RPPNMLNLNHMFFCC77CA,坡道平面,1200000,34.05
RPQNMLNLNHMFFCC87CA,坡道平面,1050000,30.01
RPROMLNLNHMFFCC08CA,坡道平面,0,15.87
RPPOMLLMNHMFFBC67CA,坡道平面,575000,41.61
RPTOMLNLNHMFFBC18CA,坡道平面,0,
RPQOMLLJOHMFFCC67CA,坡道平面,0,
RPWNMLSJOHMFFCC88CA,坡道平面,0,
RPQOMLNKOHMFFCC97CA,一樓平面,0,
RPSNMLMKOHMFFCC97CA,坡道平面,0,29.76
RPWNMLPLNHMFFCC68CA,坡道平面,0,
RPROMLSJOHMFFBC38CA,坡道平面,0,
RPQNMLLMNHMFFBC67CA,坡道平面,950000,24.26
RPSPMLMJOHMFFCC08CA,坡道平面,0,
RPWPMLMJOHMFFCC48CA,升降機械,600000,10.96
RPVNMLPJOHMFFCC48CA,坡道平面,1200000,23.11
RPXNMLPJOHMFFCC68CA,坡道平面,1030000,31.84
RPOOMLPJOHMFFCC87CA,坡道平面,1000000,31.84
RPTNMLNKOHMFFCC18CA,坡道機械,0,18.48
RPQNMLTJOHMFFBC28CA,坡道機械,0,13.98
RPQNMLTJOHMFFBC28CA,坡道機械,0,13.98
RPTNMLLMNHMFFBC97CA,坡道平面,0,21.69
RPTNMLLMNHMFFBC97CA,坡道機械,0,10.33
RPTNMLLMNHMFFBC97CA,坡道機械,0,10.33
RPTNMLLMNHMFFBC97CA,坡道機械,0,10.33
RPTNMLLMNHMFFBC97CA,坡道機械,0,10.33
RPQPMLMJOHMFFCC87CA,坡道平面,0,
RPUNMLLMNHMFFCC18CA,坡道平面,1100000,35.13
RPWNMLLMNHMFFCC38CA,坡道平面,1100000,34.05
RPQNMLTJOHMFFCC38CA,坡道平面,0,
RPWNMLRJOHMFFCC78CA,坡道平面,0,
RPQNMLLMNHMFFCC77CA,坡道平面,0,33.07
RPSOMLLJOHMFFCC87CA,坡道平面,0,
RPRNMLRJOHMFFBC18CA,坡道平面,800000,
RPSNMLTJOHMFFBC48CA,坡道平面,0,
