編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPWNMLLLKILFFAD87CA,32,78.21,住家用,鋼筋混凝土造,73年12月12日,五層,二層
RPWNMLLLKILFFAD87CA,32,13.67,共有部分,鋼筋混凝土造,73年12月12日,五層,
RPROMLNLKILFFAD67CA,22,59.25,住家用,鋼筋混凝土造,83年10月15日,十三層,六層
RPROMLNLKILFFAD67CA,22,21.38,共有部分,鋼筋混凝土造,83年10月15日,十三層,
RPROMLNLKILFFAD67CA,22,1.59,共有部分,鋼筋混凝土造,83年10月15日,十三層,
RPROMLNLKILFFAD67CA,22,.08,商業用,鋼筋混凝土造,83年10月15日,十三層,地下層
RPROMLNLKILFFAD67CA,22,.00,共有部分,鋼筋混凝土造,83年10月15日,十三層,
RPROMLNLKILFFAD67CA,22,5.53,共有部分,鋼筋混凝土造,83年10月15日,十三層,
RPROMLNLKILFFAD67CA,22,19.19,共有部分,鋼筋混凝土造,83年10月15日,十三層,
RPWNMLRLKILFFAD48CA,35,87.13,住家用,鋼筋混凝土造,70年10月27日,五層,二層
RPWNMLRLKILFFAD48CA,,30.12,共有部分,鋼筋混凝土造,,五層,
RPXNMLPKKILFFFR57CA,25,431.03,住家用,鋼筋混凝土造,80年8月23日,三層,一層 二層 三層
RPVOMLLLKILFFAD87CA,54,86.19,住家用,見其他登記事項,51年8月28日,一層,一層
RPPPMLKKJHMFFAD07CA,42,174.38,住家用,鋼筋混凝土造,63年12月2日,三層,一層 二層 三層 地下層
RPQNMLOJJHMFFAD27CA,21,99.29,住家用,鋼筋混凝土造,84年7月8日,十二層,八層
RPQNMLOJJHMFFAD27CA,21,42.81,共有部分,鋼筋混凝土造,84年7月8日,十二層,
RPPNMLNJJHMFFAD17DA,40,117.93,住家用,鋼筋混凝土造,65年10月1日,三層,一層 二層 三層
RPXOMLKMKILFFAD08CA,43,44.45,住家用,加強磚造,62年6月19日,一層,一層
RPSNMLPLJHMFFFR07CA,,154.08,住商用,加強磚造,,三層,一層 二層 三層 騎樓
RPVQMLKLJHMFFAD87CA,43,78.77,住家用,加強磚造,62年12月10日,二層,一層 二層
RPVNMLTJJHMFFAD28CA,,1691.21,見其他登記事項,見其他登記事項,105年10月28日,二層,一層 二層
RPXNMLQJKHMFFAD28CA,40,119.31,住家用,鋼筋混凝土造,65年10月1日,三層,一層 二層 三層
RPQOMLSKJHMFFAD97DA,51,32.00,商業用,鋼筋混凝土加強磚造,55年1月1日,二層,一層 二層 騎樓
RPOPMLLKJHMFFHR66DA,34,92.96,住家用,加強磚造,71年10月28日,二層,一層 二層
RPPNMLQKJHMFFAD47CA,13,191.51,見其他登記事項,鋼筋混凝土造,92年7月31日,四層,一層 二層 三層 四層 屋頂突出物 見其他登記事項
RPQNMLTKJHMFFAD87CA,1,263.94,見其他登記事項,見其他登記事項,105年3月31日,四層,一層 二層 三層 四層 屋頂突出物
RPROMLSJKHMFFAD97CA,46,132.54,住家用,加強磚造,59年12月24日,二層,一層 二層
RPROMLSJKHMFFAD97CA,46,133.48,住家用,加強磚造,59年12月24日,二層,一層 二層
RPTNMLTKJHMFFHR67CA,32,97.03,住家用,加強磚造,73年11月6日,二層,一層 二層
RPUNMLKLJHMFFAD47CA,1,246.85,住家用,見其他登記事項,104年12月3日,四層,一層 二層 三層 四層
RPQNMLPLJHMFFAD57CA,22,208.30,住家用,鋼筋混凝土造,83年10月15日,三層,一層 二層 三層 屋頂突出物
RPXOMLPLJHMFFAD48DA,45,106.74,住家用,加強磚造,61年4月18日,二層,一層 二層
RPUOMLPKKHMFFAD08CA,12,68.96,見其他登記事項,見其他登記事項,93年12月3日,一層,一層
RPUOMLNJLHMFFAD87CA,21,226.54,見其他登記事項,鋼筋混凝土造,84年11月14日,四層,一層 二層 三層 四層 屋頂突出物 夾層
RPUNMLLJLHMFFDR76DA,2,.22,見其他登記事項,鋼筋混凝土造,103年11月14日,一層,一層
RPUNMLLJLHMFFDR76DA,2,206.78,住家用,鋼筋混凝土造,103年11月14日,四層,一層 二層 三層 四層
RPRNMLNLKHMFFAD57CA,55,103.92,住家用,磚造,51年1月1日,二層,一層 二層
RPVOMLOLKHMFFAD18CA,40,87.14,住家用,加強磚造,65年10月1日,二層,一層 二層 夾層
RPPNMLLJLHMFFAD27EA,26,28.05,住家用,鋼筋混凝土造,79年11月26日,五層,三層
RPPNMLLJLHMFFAD27EA,26,11.57,共有部分,鋼筋混凝土造,79年11月26日,五層,
RPUNMLLLLHMFFER96CA,11,28.67,見其他登記事項,見其他登記事項,93年7月21日,一層,一層
RPUNMLLLLHMFFER96CA,11,7263.15,見其他登記事項,見其他登記事項,93年7月21日,三層,一層 二層 三層 屋頂突出物 夾層 地下一層
RPUNMLLLLHMFFER96CA,11,4553.48,見其他登記事項,見其他登記事項,93年7月21日,五層,一層 二層 三層 四層 五層 屋頂突出物 地下一層
RPROMLSJLHMFFDR17CA,,194.12,住家用,鋼筋混凝土造,105年8月23日,三層,一層 二層 三層 屋頂突出物
SPROMLSJLHMFFDR27CA,,188.96,住家用,鋼筋混凝土造,105年8月23日,三層,一層 二層 三層 屋頂突出物
RPWNMLRJLHMFFAD38CA,33,122.13,住商用,鋼筋混凝土造,73年3月22日,二層,一層 二層 屋頂突出物
RPRQMLPKLHMFFAD08CA,41,123.72,住家用,鋼筋混凝土造,64年11月13日,三層,一層 二層 三層
RPPNMLPKLHMFFER86DA,13,204.43,住家用,鋼造,93年1月20日,一層,一層
RPQNMLKKLHMFFHR66CA,32,97.03,住家用,加強磚造,73年11月6日,二層,一層 二層
SPQNMLKKLHMFFHR76CA,32,97.03,住家用,加強磚造,73年11月6日,二層,一層 二層
RPXPMLPKLHMFFAD58CA,22,62.57,住家用,鋼筋混凝土造,84年3月24日,四層,一層 二層 三層 四層 屋頂突出物
RPXNMLPKLHMFFBD48CA,34,108.08,住家用,加強磚造,72年2月11日,二層,一層 二層 屋頂突出物
RPOOMLSLLHMFFHR47CA,34,508.18,見其他登記事項,鋼筋混凝土造,72年6月27日,三層,一層 二層 三層 防空避難室
RPOOMLSLLHMFFHR47CA,35,258.07,見其他登記事項,加強磚造,70年12月7日,二層,一層 二層
RPUOMLKMLHMFFAD87CA,31,99.34,住商用,加強磚造,74年9月27日,二層,一層 二層 屋頂突出物 騎樓
RPQNMLOKMHMFFHR17CA,25,12.96,住家用,鋼筋混凝土造,80年10月22日,八層,五層
RPQNMLOKMHMFFHR17CA,25,7.92,共有部分,鋼筋混凝土造,80年10月22日,八層,
RPUNMLMKMHMFFHR47DA,25,23.11,住家用,鋼筋混凝土造,80年10月22日,八層,五層
RPUNMLMKMHMFFHR47DA,25,17.30,共有部分,鋼筋混凝土造,80年10月22日,八層,
RPXNMLOLMHMFFHR97CA,25,13.43,住家用,鋼筋混凝土造,80年10月22日,八層,六層
RPXNMLOLMHMFFHR97CA,25,8.13,共有部分,鋼筋混凝土造,80年10月22日,八層,
RPQOMLNJNHMFFAD77DA,34,58.83,商業用,鋼筋混凝土造,72年1月29日,二層,二層
RPQOMLNJNHMFFAD77DA,34,11.38,共有部分,鋼筋混凝土造,72年1月29日,五層,
RPVPMLSLMHMFFAD88CA,27,17.14,住家用,鋼筋混凝土造,79年1月13日,五層,三層
RPVPMLSLMHMFFAD88CA,27,8.44,共有部分,鋼筋混凝土造,79年1月13日,五層,
RPRNMLOLMHMFFBR76CA,34,134.81,住商用,加強磚造,72年9月19日,二層,一層 二層 屋頂突出物 騎樓
RPOOMLKKNHMFFER09CA,,314.87,見其他登記事項,鋼筋混凝土造,105年11月9日,四層,一層 二層 三層 四層 屋頂突出物
RPOOMLKKNHMFFER09CA,,.26,見其他登記事項,鋼筋混凝土造,105年11月9日,一層,
RPRNMLNJPHMFFCR96DA,16,171.04,住家用,鋼筋混凝土造,90年3月5日,三層,一層 二層 三層 屋頂突出物
RPUOMLSKNHMFFHR28DA,43,87.24,住家用,加強磚造,63年5月1日,二層,一層 二層
RPTNMLPJOHMFFHR77DA,26,41.72,住家用,鋼筋混凝土造,79年12月3日,七層,五層
RPTNMLPJOHMFFHR77DA,26,10.94,共有部分,鋼筋混凝土造,79年12月3日,七層,
RPTNMLPJOHMFFHR77DA,26,13.91,共有部分,鋼筋混凝土造,79年12月3日,七層,
RPWNMLSKNHMFFFR18DA,25,94.53,住家用,鋼筋混凝土造,81年5月11日,二層,一層 二層 夾層
RPQNMLQLNHMFFGR57DA,,194.26,住家用,見其他登記事項,106年2月22日,四層,一層 二層 三層 四層
RPRNMLRKNHMFFCD58EA,53,45.22,住家用,加強磚造,52年12月31日,二層,一層 二層 陽台
RPVPMLQKNHMFFAD78DA,26,23.16,住家用,鋼筋混凝土造,80年1月19日,六層,三層
RPVPMLQKNHMFFAD78DA,26,5.98,共有部分,鋼筋混凝土造,80年1月19日,六層,
RPVPMLQKNHMFFAD78DA,26,2.15,共有部分,鋼筋混凝土造,80年1月19日,六層,
RPSNMLMLNHMFFCD18DA,26,73.94,住家用,加強磚造,80年8月2日,二層,一層 二層 屋頂突出物
RPTNMLRKNHMFFAR27DA,24,72.88,住家用,鋼筋混凝土造,82年10月19日,七層,七層
RPTNMLRKNHMFFAR27DA,24,41.26,共有部分,鋼筋混凝土造,82年10月19日,七層,
RPQNMLTLNHMFFHR87CA,23,45.11,共有部分,鋼筋混凝土造,83年2月21日,十七層,
RPQNMLTLNHMFFHR87CA,22,86.32,住家用,鋼筋混凝土造,84年4月7日,十七層,七層
RPSNMLKMNHMFFHR27CA,37,73.39,住商用,加強磚造,69年6月28日,二層,一層 二層
