編號,車位類別,車位價格,車位面積平方公尺
RPROMLNLKILFFAD67CA,坡道平面,0,
RPQNMLOJJHMFFAD27CA,坡道平面,0,
RPQNMLQLNHMFFGR57DA,一樓平面,0,
RPQNMLTLNHMFFHR87CA,坡道平面,1000000,
RPQNMLRKNHMFFER27CA,升降機械,0,
RPPNMLTKNHMFFGR57CA,一樓平面,0,
RPQNMLTKNHMFFGR67CA,一樓平面,0,
RPPNMLKLNHMFFGR76CA,一樓平面,0,
RPQNMLKLNHMFFGR86CA,一樓平面,0,
RPRNMLKLNHMFFGR96CA,一樓平面,0,
RPSNMLKLNHMFFGR07CA,一樓平面,0,
RPPOMLKLNHMFFGR86CA,一樓平面,0,
RPQNMLNLNHMFFHR27CA,坡道平面,0,
RPTPMLRKNHMFFAD58CA,升降平面,0,
RPTNMLNLNHMFFAD08CA,坡道平面,550000,
RPPOMLNLNHMFFAD77CA,坡道平面,1100000,
RPROMLNLNHMFFAD97CA,坡道平面,1000000,
RPRPMLOLNHMFFAD18CA,坡道機械,500000,
RPWPMLOLNHMFFAD68CA,坡道機械,600000,
RPWOMLOLNHMFFAD58CA,坡道機械,500000,
RPOPMLPLNHMFFAD97CA,坡道平面,0,
RPQPMLPLNHMFFAD18CA,坡道平面,1050000,
RPUOMLNJOHMFFAD18CA,坡道平面,0,
RPQNMLQJOHMFFAD97CA,坡道平面,900000,36.02
RPRNMLQJOHMFFAD08CA,坡道平面,900000,36.02
RPVNMLTJOHMFFAD78CA,坡道平面,700000,26.54
RPWNMLTJOHMFFAD88CA,坡道平面,760000,30.66
RPXNMLTJOHMFFAD98CA,坡道平面,860000,30.66
RPOOMLTJOHMFFAD18CA,坡道平面,860000,30.66
RPPOMLTJOHMFFAD28CA,坡道平面,960000,30.66
RPQOMLTJOHMFFAD38CA,坡道平面,660000,30.66
RPROMLTJOHMFFAD48CA,坡道平面,760000,30.66
RPSOMLTJOHMFFAD58CA,坡道平面,960000,30.66
RPTOMLTJOHMFFAD68CA,坡道平面,760000,30.66
RPVOMLTJOHMFFAD88CA,坡道平面,660000,30.66
RPWOMLTJOHMFFAD98CA,坡道平面,760000,30.66
RPXOMLTJOHMFFAD09CA,坡道平面,760000,30.66
RPPOMLMKOHMFFAD67CA,坡道平面,0,
RPPOMLMKOHMFFAD67CA,坡道平面,0,
RPPOMLMKOHMFFAD67CA,坡道平面,0,
RPROMLMKOHMFFAD87CA,坡道平面,0,
RPROMLMKOHMFFAD87CA,坡道平面,0,
RPSOMLMKOHMFFAD97CA,坡道平面,0,
RPSOMLMKOHMFFAD97CA,坡道平面,0,
RPSOMLMKOHMFFAD97CA,坡道平面,0,
RPTOMLMKOHMFFAD08CA,坡道平面,0,
RPTOMLMKOHMFFAD08CA,坡道平面,0,
RPTOMLMKOHMFFAD08CA,坡道平面,0,
RPTOMLMKOHMFFAD08CA,坡道平面,0,
RPUOMLMKOHMFFAD18CA,坡道平面,0,
RPUOMLMKOHMFFAD18CA,坡道平面,0,
RPUOMLMKOHMFFAD18CA,坡道平面,0,
RPVOMLMKOHMFFAD28CA,坡道平面,0,
RPVOMLMKOHMFFAD28CA,坡道平面,0,
RPUPMLMKOHMFFAD28CA,坡道平面,0,
RPUPMLMKOHMFFAD28CA,坡道平面,0,
RPUPMLSJOHMFFAD78CA,坡道平面,0,
RPVOMLPJOHMFFAD48CA,坡道平面,0,
RPWOMLPLNHMFFAD68CA,坡道機械,500000,
RPUOMLLJOHMFFAD97CA,坡道平面,0,
RPSPMLPLNHMFFAD38CA,坡道機械,500000,
RPQPMLOLNHMFFAD08CA,坡道平面,1050000,
RPRQMLOLNHMFFAD28CA,坡道平面,1100000,
RPRQMLOLNHMFFAD28CA,坡道平面,1100000,
RPSPMLOLNHMFFAD28CA,坡道平面,900000,
RPTOMLNLNHMFFAD18CA,坡道機械,550000,
RPTNMLTKNHMFFAD58CA,坡道平面,0,
RPTNMLTKNHMFFAD58CA,坡道平面,0,
RPTPMLNJOHMFFCD38CA,坡道平面,0,
RPSNMLPJOHMFFCD28CA,坡道機械,0,
RPUOMLPLNHMFFCD68CA,坡道平面,0,
RPPNMLTKNHMFFHR67CA,坡道平面,680000,30.25
RPTNMLTKNHMFFFR87CA,坡道機械,250000,
RPWNMLMJOHMFFHR67CA,坡道機械,0,
RPQOMLOLNHMFFCD28DA,一樓平面,0,
RPPNMLTLNHMFFHR77CA,坡道機械,600000,
RPSOMLLMNHMFFHR47CA,坡道平面,0,
RPSOMLLMNHMFFHR47CA,坡道平面,0,
RPVOMLLMNHMFFHR77CA,坡道平面,0,
RPVOMLLMNHMFFHR77CA,坡道平面,0,
RPWOMLLMNHMFFHR87CA,坡道平面,0,
RPXOMLLMNHMFFHR97CA,坡道平面,0,
