編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLRKNHMFFAE08CA,1,66.31,見其它登記事項,見其它登記事項,105年1月14日,十五層,十一層
RPPNMLRKNHMFFAE08CA,1,43.96,見其它登記事項,見其它登記事項,105年1月14日,十五層,
RPQNMLRKNHMFFAE18CA,2,82.85,住家用,鋼筋混凝土造,104年7月31日,十五層,六層
RPQNMLRKNHMFFAE18CA,2,43.38,見其它登記事項,鋼筋混凝土造,104年7月31日,十五層,
RPVOMLRKNHMFFAE78CA,11,53.78,住家用,鋼筋混凝土造,95年3月3日,十五層,四層
RPVOMLRKNHMFFAE78CA,11,39.97,共有部分,鋼筋混凝土造,95年3月3日,十五層,
RPXOMLRKNHMFFAE98CA,12,117.11,住家用,鋼筋混凝土造,94年10月6日,十五層,六層
RPXOMLRKNHMFFAE98CA,12,79.72,共有部分,鋼筋混凝土造,94年10月6日,十五層,
RPSOMLSKNHMFFAE58CA,10,81.91,住家用,鋼筋混凝土造,95年11月1日,十五層,七層
RPSOMLSKNHMFFAE58CA,10,33.44,見其它登記事項,鋼筋混凝土造,95年11月1日,十五層,
RPUNMLTKNHMFFAE78CA,12,83.88,住家用,鋼筋混凝土造,94年5月13日,十五層,九層
RPUNMLTKNHMFFAE78CA,12,39.61,共有部分,鋼筋混凝土造,94年5月13日,十五層,
RPQPMLMLNHMFFAE97CA,41,59.77,,鋼筋混凝土造,65年4月6日,四層,四層
RPXNMLNLNHMFFAE58CA,39,89.93,,鋼筋混凝土造,67年4月15日,四層,四層
RPROMLNLNHMFFAE08CA,12,86.77,住家用,鋼筋混凝土造,94年9月21日,十五層,十層
RPROMLNLNHMFFAE08CA,12,37.59,共有部分,鋼筋混凝土造,94年9月21日,十五層,
RPSNMLNLNHMFFAE08CA,8,113.40,住家用,鋼筋混凝土造,98年1月14日,十五層,十三層
RPSNMLNLNHMFFAE08CA,8,71.42,共有部分,鋼筋混凝土造,98年1月14日,十五層,
RPROMLOLNHMFFAE18CA,12,27.81,住家用,鋼筋混凝土造,94年6月24日,十五層,四層
RPROMLOLNHMFFAE18CA,12,2.43,共有部分,鋼筋混凝土造,94年6月24日,十五層,
RPROMLOLNHMFFAE18CA,12,5.62,共有部分,鋼筋混凝土造,94年6月24日,十五層,
RPROMLOLNHMFFAE18CA,12,9.33,共有部分,鋼筋混凝土造,94年6月24日,十五層,
RPUNMLPLNHMFFAE48CA,15,78.19,住家用,鋼筋混凝土造,90年12月24日,十三層,六層
RPUNMLPLNHMFFAE48CA,15,47.12,共有部分,鋼筋混凝土造,90年12月24日,十三層,
RPTNMLRLNHMFFAE58CA,,226.76,見其它登記事項,見其它登記事項,105年8月26日,二十九層,二十八層
RPTNMLRLNHMFFAE58CA,,156.65,見其它登記事項,見其它登記事項,105年8月26日,二十九層,
RPQOMLLMNHMFFAE87CA,11,54.15,住家用,鋼筋混凝土造,95年8月9日,十五層,六層
RPQOMLLMNHMFFAE87CA,11,25.42,共有部分,鋼筋混凝土造,95年8月9日,十五層,
RPROMLLMNHMFFAE97CA,11,36.03,住家用,鋼筋混凝土造,95年8月9日,十五層,三層
RPROMLLMNHMFFAE97CA,11,18.52,共有部分,鋼筋混凝土造,95年8月9日,十五層,
RPUPMLLJOHMFFAE18CA,12,137.64,住家用,鋼筋混凝土造,94年1月13日,十五層,十層
RPUPMLLJOHMFFAE18CA,12,82.44,共有部分,鋼筋混凝土造,94年1月13日,十五層,
RPOOMLNJOHMFFAE67CA,31,82.78,住家用,鋼筋混凝土造,75年6月24日,五層,四層
RPOOMLNJOHMFFAE67CA,31,11.11,,鋼筋混凝土造,75年6月24日,五層,
RPWNMLTJOHMFFAE98CA,48,78.16,,加強磚造,58年7月28日,二層,一層 二層
RPVOMLMKOHMFFAE38CA,42,537.96,,鋼筋混凝土造,64年1月25日,四層,一層 二層 三層 四層 騎樓
RPVOMLRKNHMFFBE88CA,18,29.53,商業用,鋼骨鋼筋混凝土造,88年4月1日,八十五層,二十二層
RPVOMLRKNHMFFBE88CA,18,11.08,見其他登記事項,鋼骨鋼筋混凝土造,88年4月1日,八十五層,
RPVOMLRKNHMFFBE88CA,18,1.74,見其他登記事項,鋼骨鋼筋混凝土造,88年4月1日,八十五層,
RPVOMLRKNHMFFBE88CA,18,3.36,見其他登記事項,鋼骨鋼筋混凝土造,88年4月1日,八十五層,
RPWOMLRKNHMFFBE98CA,18,63.36,商業用,鋼骨鋼筋混凝土造,88年4月1日,八十五層,十七層
