編號,車位類別,車位價格,車位面積平方公尺
RPPNMLRKNHMFFAE08CA,坡道機械,0,9.92
RPVOMLRKNHMFFAE78CA,坡道機械,0,11.23
RPXOMLRKNHMFFAE98CA,坡道平面,0,27.05
RPUNMLTKNHMFFAE78CA,升降機械,0,
RPSNMLNLNHMFFAE08CA,坡道平面,0,26.65
RPUNMLPLNHMFFAE48CA,坡道平面,1500000,16.52
RPTNMLRLNHMFFAE58CA,坡道平面,1900000,22.46
RPTNMLRLNHMFFAE58CA,坡道平面,1900000,22.46
RPUPMLLJOHMFFAE18CA,坡道平面,0,20.61
RPOQMLQKNHMFFCE38CA,坡道平面,0,24.80
RPUOMLNKOHMFFCE58CA,坡道平面,0,
RPRNMLRKNHMFFDE58CA,坡道平面,0,
RPRNMLRKNHMFFDE58CA,坡道平面,0,
RPUOMLSKNHMFFDE09CA,坡道平面,0,27.29
RPPNMLLLNHMFFDE87CA,坡道平面,0,34.69
RPPNMLLLNHMFFDE87CA,坡道平面,0,34.69
RPVNMLPLNHMFFDE88CA,坡道平面,0,
RPTNMLLMNHMFFDE38CA,坡道平面,0,
RPXNMLRJOHMFFDE56CA,坡道平面,0,
RPUOMLRJOHMFFDE98CA,坡道平面,0,
RPPNMLLKOHMFFDE87CA,坡道平面,0,25.40
RPQNMLLKOHMFFDE97CA,坡道平面,0,25.40
RPRNMLKLNHMFFEE08CA,坡道平面,1200000,34.81
RPUNMLMLNHMFFEE58CA,坡道機械,0,10.76
RPUNMLNLNHMFFEE68CA,坡道平面,0,36.27
RPXQMLNLNHMFFEE66CA,坡道平面,0,
RPORMLNLNHMFFEE48CA,坡道平面,0,
RPPRMLNLNHMFFEE58CA,坡道機械,0,
RPWPMLPLNHMFFEE66CA,坡道平面,0,16.96
RPQQMLPLNHMFFEE78CA,坡道平面,0,16.02
RPXPMLQLNHMFFEE86CA,坡道機械,0,7.57
RPQOMLLMNHMFFEE28CA,坡道平面,1500000,17.69
RPRQMLLMNHMFFEE58CA,坡道平面,0,25.09
RPRQMLLMNHMFFEE58CA,坡道平面,0,25.09
RPTOMLMJOHMFFEE48CA,坡道平面,0,19.14
RPRQMLRJOHMFFEE98CA,坡道平面,0,19.14
RPXNMLSJOHMFFEE76CA,坡道平面,0,20.42
RPXNMLSJOHMFFEE76CA,坡道平面,0,20.42
RPXNMLSJOHMFFEE76CA,坡道平面,0,20.42
RPPNMLNKOHMFFEE18CA,坡道機械,770000,16.71
RPVPMLRKNHMFFGE86CA,坡道平面,0,
RPXPMLRKNHMFFGE07CA,坡道平面,0,23.13
RPSQMLRKNHMFFGE66CA,坡道平面,0,23.13
RPROMLRKNHMFFGE98CA,坡道平面,0,44.98
RPQOMLSKNHMFFGE98CA,坡道平面,0,
RPVOMLSKNHMFFGE86CA,坡道平面,0,
RPWOMLSKNHMFFGE96CA,坡道平面,0,
RPXOMLSKNHMFFGE07CA,坡道平面,0,
RPOQMLMLNHMFFGE48CA,坡道平面,1100000,17.99
RPXOMLNLNHMFFGE66CA,坡道平面,0,
