鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
小港區,房地(土地+建物),桂林段61~90地號,10.87,商,,,1051011,土地1建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,79.02,2,1,1,有,無,3250000,41129,,0.0,0,,RPUOMLRKNHMFFCE98CB
小港區,房地(土地+建物),桂林段61~90地號,10.87,商,,,1051008,土地1建物1車位0,十三層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,79.02,2,1,1,有,無,3410000,43154,,0.0,0,,RPVOMLRKNHMFFCE09CB
小港區,房地(土地+建物)+車位,桂林段61~90地號,10.94,商,,,1051006,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,142.02,2,1,1,有,無,4150000,39863,坡道平面,63.0,1000000,,RPWOMLRKNHMFFCE56CB
小港區,房地(土地+建物),桂林段61~90地號,12.61,商,,,1050714,土地1建物1車位0,二層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,92.35,2,1,1,有,無,3780000,40931,,0.0,0,,RPXOMLRKNHMFFCE66CB
小港區,房地(土地+建物),桂林段61~90地號,12.28,商,,,1050820,土地1建物1車位0,五層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,89.49,2,1,1,有,無,3900000,43580,,0.0,0,,RPOPMLRKNHMFFCE48CB
小港區,房地(土地+建物),桂林段61~90地號,12.28,商,,,1051015,土地1建物1車位0,九層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,89.49,2,1,1,有,無,3730000,41681,,0.0,0,,RPVNMLSKNHMFFCE09CB
小港區,房地(土地+建物)+車位,桂林段61~90地號,12.95,商,,,1050730,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,157.02,2,1,1,有,無,4910000,39460,坡道平面,63.0,1200000,,RPXNMLSKNHMFFCE66CB
小港區,房地(土地+建物)+車位,桂林段61~90地號,12.95,商,,,1050920,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,157.02,2,1,1,有,無,4700000,38290,坡道平面,63.0,1100000,,RPOOMLSKNHMFFCE48CB
小港區,房地(土地+建物),桂林段61~90地號,12.88,商,,,1050809,土地1建物1車位0,五層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,94.02,2,1,1,有,無,4070000,43289,,0.0,0,,RPPOMLSKNHMFFCE58CB
小港區,房地(土地+建物)+車位,桂林段61~90地號,12.95,商,,,1050829,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,157.02,2,1,1,有,無,4850000,40949,坡道平面,63.0,1000000,,RPQOMLSKNHMFFCE68CB
小港區,房地(土地+建物)+車位,桂林段61~90地號,12.95,商,,,1050618,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,157.02,2,1,1,有,無,4870000,41161,坡道平面,63.0,1000000,,RPVOMLSKNHMFFCE56CB
小港區,房地(土地+建物),桂林段61~90地號,12.88,商,,,1050902,土地1建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,94.02,2,1,1,有,無,4000000,42544,,0.0,0,,RPWOMLSKNHMFFCE66CB
小港區,房地(土地+建物),桂林段61~90地號,10.6,商,,,1050501,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,77.32,2,1,1,有,無,3250000,42033,,0.0,0,,RPQPMLSKNHMFFCE78CB
小港區,房地(土地+建物),桂林段61~90地號,10.87,商,,,1050820,土地1建物1車位0,九層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,79.02,2,1,1,有,無,3600000,45558,,0.0,0,含家電2萬,RPXNMLTKNHMFFCE76CB
小港區,房地(土地+建物)+車位,桂林段61~90地號,10.67,商,,,1050620,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,140.32,2,1,1,有,無,4780000,47594,坡道平面,63.0,1100000,含裝潢47萬+冷氣6萬,RPPOMLTKNHMFFCE68CB
小港區,房地(土地+建物),桂林段61~90地號,10.6,商,,,1051009,土地1建物1車位0,三層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,77.32,2,1,1,有,無,3500000,45266,,0.0,0,含裝潢25萬,RPQOMLTKNHMFFCE78CB
