鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
苓雅區,房地(土地+建物),高雄市苓雅區中華四路1~30號,1447.0,其他,,,1060512,土地1建物2車位0,全,1,透天厝,,見使用執照,0790430,647.09,0,0,0,無,無,無,500000,773,,0.0,0,,RPQNMLQKNHMFFBE38CC
新興區,建物,高雄市新興區五福二路121~150號,0.0,商,,,1060515,土地0建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010409,291.75,3,2,2,有,有,有,34000,117,,0.0,0,,RPUOMLQKNHMFFBE88CC
苓雅區,建物,高雄市苓雅區大順三路211~240號,0.0,商,,,1060515,土地0建物1車位0,六層,8,華廈(10層含以下有電梯),,鋼筋混凝土造,0681107,133.28,3,2,2,有,有,無,12000,90,,0.0,0,,RPVOMLQKNHMFFBE98CC
新興區,建物,高雄市新興區復興一路121~150號,64.0,商,,,1060510,土地0建物1車位0,全,2,透天厝,,加強磚造,0491127,54.42,1,1,1,有,無,無,15000,276,,0.0,0,,RPXOMLQKNHMFFBE56CC
前金區,房地(土地+建物),高雄市前金區成功一路241~270號,117.0,商,,,1060428,土地1建物1車位0,全,4,透天厝,,鋼筋混凝土造,0680625,346.52,0,0,0,無,無,無,50000,144,,0.0,0,,RPROMLQKNHMFFAE48CC
鼓山區,房地(土地+建物),高雄市鼓山區龍德路271~300號,11.58,住,,,1060430,土地1建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940602,117.3,3,2,2,有,有,有,18000,153,,0.0,0,,RPXOMLQKNHMFFAE09CC
三民區,房地(土地+建物),高雄市三民區大豐二路391~420號,18.91,商,,,1060515,土地1建物1車位0,十層,12,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0780120,143.67,3,2,2,有,有,有,18000,125,,0.0,0,租金含管理費+車位租金+清潔費,RPSNMLQKNHMFFDE78CC
楠梓區,房地(土地+建物),高雄市楠梓區加宏路191巷31~60號,19.13,商,,,1060515,土地1建物1車位0,見其它登記事項,15,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0951130,211.85,0,0,0,無,有,有,25000,118,,0.0,0,,RPSOMLQKNHMFFEE98CC
鳳山區,房地(土地+建物),高雄市鳳山區鳳甲路391~420號,98.76,住,,,1060502,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0910912,64.86,0,0,0,無,無,無,14000,216,,0.0,0,,RPROMLQKNHMFFGE09CC
大樹區,房地(土地+建物),高雄市大樹區瓦厝街1~30號,266.56,工,,,1060417,土地1建物1車位0,見其他登記事項,1,工廠,見其他登記事項,見其他登記事項,1051226,187.52,0,0,1,有,無,無,31000,,,0.0,0,,RPSOMLQKNHMFFGE56CC
