編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLQKNHMFFBE38CC,27,257.14,,見使用執照,79年4月30日,一層,
RPQNMLQKNHMFFBE38CC,27,389.95,,見使用執照,79年4月30日,一層,
RPUOMLQKNHMFFBE88CC,5,291.75,住家用,鋼筋混凝土造,101年4月9日,十五層,
RPVOMLQKNHMFFBE98CC,38,133.28,,鋼筋混凝土造,68年11月7日,八層,
RPXOMLQKNHMFFBE56CC,56,39.67,,加強磚造,49年11月27日,二層,
RPXOMLQKNHMFFBE56CC,56,14.75,,加強磚造,49年11月27日,二層,
RPROMLQKNHMFFAE48CC,38,346.52,,鋼筋混凝土造,68年6月25日,四層,
RPXOMLQKNHMFFAE09CC,12,117.30,住家用,鋼筋混凝土造,94年6月2日,十五層,
RPSNMLQKNHMFFDE78CC,28,143.67,,鋼筋混凝土造,78年1月20日,十二層,
RPSOMLQKNHMFFEE98CC,10,211.85,住商用,鋼筋混凝土造,95年11月30日,十五層,
RPROMLQKNHMFFGE09CC,15,64.86,見其他登記事項,鋼筋混凝土造,91年9月12日,四層,
RPSOMLQKNHMFFGE56CC,,187.52,見其他登記事項,見其他登記事項,105年12月26日,一層,
RPXNMLRKNHMFFIE27CC,38,60.96,住家用,鋼筋混凝土造,68年4月30日,四層,
RPOOMLRKNHMFFIE09CC,14,161.52,住家用,鋼筋混凝土造,92年8月1日,四層,
RPUNMLRKNHMFFCE98CC,9,120.06,見其它登記事項,鋼筋混凝土造,97年2月1日,十二層,
RPTNMLRKNHMFFEE09CC,1,69.77,見其它登記事項,見其它登記事項,105年3月22日,十五層,
RPTNMLRKNHMFFEE09CC,1,65.46,見其它登記事項,見其它登記事項,105年3月22日,十五層,
RPUNMLRKNHMFFDE09CC,36,42.67,,鋼筋混凝土造,70年6月12日,四層,
RPSPMLRKNHMFFDE09CC,50,126.45,,加強磚造,56年10月29日,三層,
RPVQMLRKNHMFFDE86CC,25,244.37,,鋼筋混凝土造,80年11月19日,十六層,
RPWQMLRKNHMFFDE96CC,21,23.26,住家用,鋼筋混凝土造,85年6月25日,十一層,
RPWQMLRKNHMFFDE96CC,21,9.52,見使用執照,鋼筋混凝土造,85年6月25日,十一層,
RPWOMLRKNHMFFAE09CC,11,102.26,住家用,鋼筋混凝土造,95年3月3日,十五層,
RPRPMLRKNHMFFAE68CC,4,84.74,住家用,鋼筋混凝土造,101年11月7日,十五層,
RPVNMLRKNHMFFBE98CC,20,87.40,住家用,鋼筋混凝土造,86年4月21日,三十五層,
RPVNMLRKNHMFFBE98CC,20,39.95,見使用執照,鋼筋混凝土造,86年4月21日,三十五層,
RPQNMLSKNHMFFBE58CC,50,92.84,,加強磚造,55年12月5日,二層,
RPSNMLSKNHMFFBE78CC,55,638.08,,見使用執照,51年5月1日,四層,
RPTOMLSKNHMFFBE98CC,36,92.15,,鋼筋混凝土造,69年12月1日,四層,
RPTOMLSKNHMFFAE88CC,35,710.85,,鋼筋混凝土造,71年2月2日,二層,
RPOPMLSKNHMFFAE48CC,5,101.86,住家用,鋼筋混凝土造,101年11月7日,十五層,
RPQPMLSKNHMFFAE68CC,10,325.44,住商用,鋼筋混凝土造,96年1月31日,十五層,
RPUNMLSKNHMFFDE56CC,41,72.53,,鋼筋混凝土造,65年6月16日,三層,
RPPPMLSKNHMFFDE88CC,28,152.73,,鋼筋混凝土造,78年6月12日,七層,
RPSPMLSKNHMFFEE66CC,32,122.43,,加強磚造,74年11月4日,二層,
RPXOMLSKNHMFFCE86CC,21,37.66,住家用,鋼筋混凝土造,84年12月5日,二十一層,
RPRPMLSKNHMFFGE76CC,2,228.66,見其他登記事項,見其他登記事項,104年4月6日,四層,
RPWNMLSKNHMFFDE86DC,29,290.02,,鋼筋混凝土造,77年6月25日,五層,
RPVQMLSKNHMFFGE37DC,10,50.54,見其他登記事項,見其他登記事項,96年2月5日,四層,
RPUNMLTKNHMFFEE86DC,30,77.46,,鋼筋混凝土造,76年8月12日,三層,
RPVNMLTKNHMFFIE27CC,28,749.50,見其他登記事項,鋼造,78年4月12日,一層,
RPVOMLTKNHMFFIE37CC,24,121.74,住家用,鋼筋混凝土造,82年9月16日,三層,
RPUOMLTKNHMFFGE07CC,23,61.15,住家用,鋼筋混凝土造,82年12月29日,九層,
RPPPMLTKNHMFFGE66CC,5,185.75,見其他登記事項,鋼筋混凝土造,101年5月2日,十四層,
RPRPMLTKNHMFFGE86CC,43,91.56,住家用,加強磚造,62年12月26日,二層,
RPXPMLTKNHMFFGE47CC,37,99.47,住家用,鋼筋混凝土造,68年11月29日,五層,
RPVNMLTKNHMFFCE66CC,4,138.68,住家用,見其它登記事項,102年7月10日,二十九層,
RPVNMLTKNHMFFCE66CC,4,35.91,住家用,見其它登記事項,102年7月10日,二十九層,
RPVNMLTKNHMFFCE66CC,4,105.31,見其它登記事項,見其它登記事項,102年7月10日,二十九層,
RPWNMLTKNHMFFCE76CC,20,39.85,住家用,鋼筋混凝土造,86年5月27日,二十七層,
RPWNMLTKNHMFFCE76CC,20,7.30,住家用,鋼筋混凝土造,86年5月27日,二十七層,
RPWNMLTKNHMFFCE76CC,20,16.46,見使用執照,鋼筋混凝土造,86年5月27日,二十七層,
RPTPMLTKNHMFFCE66CC,18,306.21,商業用,鋼筋混凝土造,87年11月23日,二十三層,
RPTPMLTKNHMFFCE66CC,18,27.33,商業用,鋼筋混凝土造,87年11月23日,二十三層,
RPTPMLTKNHMFFCE66CC,18,93.14,共有部份,鋼筋混凝土造,87年11月23日,二十三層,
RPRPMLTKNHMFFEE66CC,28,327.37,住商用,鋼筋混凝土造,78年9月8日,五層,
RPUPMLTKNHMFFEE96CC,9,325.72,見其它登記事項,鋼筋混凝土造,97年4月17日,十五層,
RPUPMLTKNHMFFEE96CC,9,108.01,共有部分,鋼筋混凝土造,97年4月17日,十五層,
RPWPMLTKNHMFFEE17CC,4,119.36,住家用,鋼筋混凝土造,102年8月8日,十五層,
RPWNMLTKNHMFFDE86CC,21,108.31,住家用,鋼筋混凝土造,85年3月25日,十八層,
RPWNMLTKNHMFFDE86CC,21,18.22,住家用,鋼筋混凝土造,85年3月25日,十八層,
RPWNMLTKNHMFFDE86CC,21,14.89,見使用執照,鋼筋混凝土造,85年3月25日,十八層,
RPXNMLTKNHMFFDE96CC,24,37.63,住家用,鋼筋混凝土造,82年8月26日,十二層,
RPXNMLTKNHMFFDE96CC,24,12.45,住家用,鋼筋混凝土造,82年8月26日,十二層,
RPXNMLTKNHMFFDE96CC,24,17.93,住家用,鋼筋混凝土造,82年8月26日,十二層,
RPPNMLTKNHMFFAE48CC,11,76.11,住家用,鋼筋混凝土造,95年1月26日,十五層,
RPTNMLTKNHMFFAE88CC,23,215.68,商業用,鋼筋混凝土造,83年3月11日,十三層,
RPTNMLTKNHMFFAE88CC,25,74.27,住家用,鋼筋混凝土造,81年5月13日,七層,
RPTNMLTKNHMFFAE88CC,25,39.30,商業用,鋼筋混凝土造,81年6月18日,十三層,
RPWNMLTKNHMFFAE56CC,11,64.14,住家用,鋼筋混凝土造,95年1月26日,十五層,
RPWNMLTKNHMFFAE56CC,11,4.80,住家用,鋼筋混凝土造,95年1月26日,十五層,
RPWNMLTKNHMFFAE56CC,11,27.72,共有部分,鋼筋混凝土造,95年1月26日,十五層,
RPROMLTKNHMFFAE78CC,12,109.69,住家用,鋼筋混凝土造,94年9月21日,十五層,
RPROMLTKNHMFFAE78CC,12,47.35,共有部分,鋼筋混凝土造,94年9月21日,十五層,
RPSOMLTKNHMFFAE88CC,11,53.20,住家用,鋼筋混凝土造,95年2月3日,十四層,
RPSOMLTKNHMFFAE88CC,11,21.02,共有部分,鋼筋混凝土造,95年2月3日,十四層,
RPXNMLTKNHMFFBE76CC,9,28.91,住家用,鋼筋混凝土造,97年9月19日,十三層,
RPXNMLTKNHMFFBE76CC,9,9.46,住家用,鋼筋混凝土造,97年9月19日,十三層,
RPXNMLTKNHMFFBE76CC,9,9.48,共有部分,鋼筋混凝土造,97年9月19日,十三層,
RPROMLTKNHMFFBE88CC,27,63.54,,鋼筋混凝土造,79年11月10日,十二層,
RPROMLTKNHMFFBE88CC,27,30.53,,鋼筋混凝土造,79年11月10日,十二層,
RPSOMLTKNHMFFBE98CC,20,103.60,商業用,鋼造,86年2月12日,二十七層,
RPSOMLTKNHMFFBE98CC,20,75.82,見使用執照,鋼造,86年2月12日,二十七層,
RPTOMLTKNHMFFBE09CC,40,103.30,,鋼筋混凝土造,65年11月24日,十層,
RPUOMLTKNHMFFBE56CC,35,40.65,,鋼筋混凝土造,71年4月30日,十二層,
RPVOMLTKNHMFFBE66CC,3,48.97,住家用,鋼筋混凝土造,103年1月27日,十三層,
RPVOMLTKNHMFFBE66CC,3,6.20,住家用,鋼筋混凝土造,103年1月27日,十三層,
RPVOMLTKNHMFFBE66CC,3,31.50,共有部分,鋼筋混凝土造,103年1月27日,十三層,
RPWPMLTKNHMFFBE86CC,36,57.75,,鋼筋混凝土造,69年12月12日,七層,
RPWPMLTKNHMFFBE86CC,36,17.34,,鋼筋混凝土造,69年12月12日,七層,
RPPNMLKLNHMFFAE67CC,35,710.85,,鋼筋混凝土造,71年2月2日,二層,
RPRNMLKLNHMFFAE87CC,19,353.56,商業用,鋼筋混凝土造,87年3月10日,十三層,
RPUNMLKLNHMFFAE18CC,46,80.51,,加強磚造,60年2月1日,二層,
RPPNMLLLNHMFFFE28CC,45,87.24,住家用,加強磚造,61年6月30日,二層,
RPQPMLMLNHMFFDE58DC,25,161.95,,鋼筋混凝土造,80年12月18日,十四層,
RPQPMLMLNHMFFDE58DC,25,51.07,見其它登記事項,鋼筋混凝土造,80年12月18日,十四層,
RPSOMLMLNHMFFIE09CC,38,106.46,住商用,加強磚造,67年11月15日,二層,
RPTQMLMLNHMFFEE98CC,9,115.59,住家用,鋼筋混凝土造,97年4月10日,十五層,
RPTQMLMLNHMFFEE98CC,9,87.18,共有部分,鋼筋混凝土造,97年4月10日,十五層,
RPSRMLMLNHMFFEE98CC,10,422.49,住商用,鋼筋混凝土造,96年1月31日,五層,
RPTNMLMLNHMFFCE48CC,42,44.91,,鋼筋混凝土造,64年8月22日,三層,
RPXNMLMLNHMFFCE88CC,46,35.47,住家用,加強磚造,60年6月28日,二層,
RPOOMLMLNHMFFGE48CC,44,108.56,住商用,加強磚造,62年4月18日,二層,
RPPOMLMLNHMFFGE58CC,44,108.56,住商用,加強磚造,62年4月18日,二層,
RPUPMLMLNHMFFAE58CC,35,73.87,,鋼筋混凝土造,71年9月4日,九層,
RPTNMLMLNHMFFDE58CC,5,55.82,住家用,鋼筋混凝土造,101年9月27日,十五層,
RPTNMLMLNHMFFDE58CC,5,29.64,共有部分,鋼筋混凝土造,101年9月27日,十五層,
RPPOMLMLNHMFFDE28CC,21,166.92,商業用,鋼筋混凝土造,84年12月19日,二十六層,
RPRPMLMLNHMFFDE58CC,36,64.86,,鋼筋混凝土造,70年1月24日,五層,
RPTNMLMLNHMFFBE38CC,38,44.10,,鋼筋混凝土造,68年10月11日,五層,
RPUNMLMLNHMFFBE48CC,20,251.92,住家用,鋼筋混凝土造,86年4月21日,三十五層,
RPXNMLMLNHMFFBE78CC,46,86.91,住家用,鋼筋混凝土造,60年5月20日,五層,
RPPPMLNLNHMFFDE48CC,50,126.45,,加強磚造,56年10月29日,三層,
RPQPMLNLNHMFFDE58CC,37,36.28,,鋼筋混凝土造,69年8月28日,五層,
RPQOMLNLNHMFFAE18CC,36,118.75,,鋼筋混凝土造,70年8月10日,五層,
RPOPMLNLNHMFFGE68CC,3,195.56,見其他登記事項,見其他登記事項,103年3月28日,一層,
RPRPMLNLNHMFFGE98CC,37,147.29,農舍,加強磚造,69年9月24日,二層,
RPWNMLNLNHMFFEE09CC,23,71.93,住家用,鋼筋混凝土造,83年5月12日,七層,
RPVPMLNLNHMFFEE56CC,11,75.98,住家用,鋼筋混凝土造,95年5月5日,十三層,
RPVPMLNLNHMFFEE56CC,11,32.76,見使用執照,鋼筋混凝土造,95年5月5日,十三層,
RPWPMLNLNHMFFEE66CC,3,92.61,住家用,鋼筋混凝土造,102年12月27日,十四層,
RPOQMLNLNHMFFEE58CC,12,72.29,住家用,鋼筋混凝土造,94年1月31日,十一層,
RPOQMLNLNHMFFEE58CC,12,30.77,見使用執照,鋼筋混凝土造,94年1月31日,十一層,
RPPNMLNLNHMFFIE78CC,39,106.46,住商用,加強磚造,67年6月25日,二層,
RPRNMLNLNHMFFIE98CC,39,106.46,住商用,加強磚造,67年11月15日,二層,
RPPOMLNLNHMFFIE88CC,40,102.34,住商用,加強磚造,66年11月10日,二層,
RPOQMLOLNHMFFIE09CC,,403.85,見其他登記事項,見其他登記事項,106年3月21日,一層,
RPPQMLOLNHMFFIE56CC,,351.41,見其他登記事項,見其他登記事項,106年3月21日,一層,
RPVNMLOLNHMFFCE88CC,20,121.70,住家用,鋼筋混凝土造,86年5月27日,二十七層,
RPVNMLOLNHMFFCE88CC,20,37.41,見使用執照,鋼筋混凝土造,86年5月27日,二十七層,
RPTNMLOLNHMFFAE48CC,27,63.84,商業用,鋼筋混凝土造,79年3月20日,十八層,
RPTNMLOLNHMFFAE48CC,27,22.67,見使用執照,鋼筋混凝土造,79年3月20日,十八層,
RPUNMLOLNHMFFAE58CC,27,104.46,商業用,鋼筋混凝土造,79年3月20日,十八層,
RPUNMLOLNHMFFAE58CC,27,22.67,見使用執照,鋼筋混凝土造,79年3月20日,十八層,
RPPOMLOLNHMFFAE18CC,11,89.52,住家用,鋼筋混凝土造,95年11月1日,十五層,
RPPOMLOLNHMFFAE18CC,11,36.72,見其它登記事項,鋼筋混凝土造,95年11月1日,十五層,
RPRNMLOLNHMFFDE58CC,21,10.96,見使用執照,見使用執照,85年10月2日,十二層,
RPRNMLOLNHMFFDE58CC,21,25.33,住家用,鋼筋混凝土造,85年10月2日,十二層,
RPTOMLOLNHMFFDE88CC,23,163.38,住商用,鋼筋混凝土造,83年10月12日,七層,
RPTOMLOLNHMFFDE88CC,23,192.60,住商用,鋼筋混凝土造,83年10月12日,七層,
RPXNMLOLNHMFFBE98CC,2,52.07,住家用,鋼筋混凝土造,104年3月6日,十四層,
RPXNMLOLNHMFFBE98CC,2,26.38,共有部分,鋼筋混凝土造,104年3月6日,十四層,
RPSOMLOLNHMFFBE58CC,20,126.69,住家用,鋼筋混凝土造,86年4月21日,三十五層,
RPWOMLOLNHMFFBE98CC,3,93.01,住家用,鋼筋混凝土造,103年1月27日,十三層,
RPRNMLPLNHMFFBE48CC,37,817.01,,鋼筋混凝土造,68年11月16日,十二層,
RPUNMLPLNHMFFBE78CC,17,37.69,住家用,鋼筋混凝土造,88年12月23日,十四層,
RPXNMLPLNHMFFBE09CC,27,295.20,,鋼筋混凝土造,79年8月30日,十二層,
RPSNMLPLNHMFFAE48CC,5,58.63,住家用,鋼筋混凝土造,101年9月26日,十五層,
RPSNMLPLNHMFFAE48CC,5,36.05,見其它登記事項,鋼筋混凝土造,101年9月26日,十五層,
RPQOMLPLNHMFFAE38CC,12,285.73,住商用,鋼筋混凝土造,94年5月26日,五層,
RPUOMLPLNHMFFAE78CC,14,81.72,住家用,鋼筋混凝土造,92年11月11日,十四層,
RPQPMLPLNHMFFAE48CC,2,70.06,住家用,鋼筋混凝土造,104年7月3日,十五層,
RPQPMLPLNHMFFAE48CC,2,37.15,見其它登記事項,鋼筋混凝土造,104年7月3日,十五層,
RPTNMLPLNHMFFCE78CC,7,136.54,住家用,鋼筋混凝土造,98年12月24日,十九層,
RPTNMLPLNHMFFCE78CC,7,86.07,見其它登記事項,鋼筋混凝土造,98年12月24日,十九層,
RPXNMLPLNHMFFCE56CC,37,58.94,,鋼筋混凝土造,68年12月21日,四層,
RPQOMLPLNHMFFCE58CC,18,41.24,住家用,見其它登記事項,88年2月9日,三十九層,
RPSOMLPLNHMFFJE86CC,6,51.93,住家用,鋼筋混凝土造,100年10月3日,三層,
RPTNMLQLNHMFFCE88CC,37,61.80,,鋼筋混凝土造,69年8月8日,五層,
RPTOMLQLNHMFFEE56CC,41,127.39,,鋼筋混凝土造,65年3月31日,三層,
RPQRMLQLNHMFFEE56CC,4,86.06,住家用,鋼筋混凝土造,102年8月8日,十五層,
RPWNMLQLNHMFFAE98CC,12,160.05,商業用,鋼筋混凝土造,94年8月2日,十四層,
RPWNMLQLNHMFFAE98CC,12,69.67,共有部分,鋼筋混凝土造,94年8月2日,十四層,
RPXNMLQLNHMFFAE09CC,13,75.52,住家用,鋼筋混凝土造,93年3月22日,十二層,
RPXNMLQLNHMFFAE09CC,13,7.96,住家用,鋼筋混凝土造,93年3月22日,十二層,
RPXNMLQLNHMFFAE09CC,13,69.81,共有部分,鋼筋混凝土造,93年3月22日,十二層,
RPQOMLQLNHMFFAE48CC,1,135.80,見其它登記事項,見其它登記事項,105年1月20日,二十九層,
RPQOMLQLNHMFFAE48CC,1,20.46,見其它登記事項,見其它登記事項,105年1月20日,二十九層,
RPQOMLQLNHMFFAE48CC,1,97.55,見其它登記事項,見其它登記事項,105年1月20日,二十九層,
RPSOMLQLNHMFFAE68CC,13,81.11,住家用,鋼筋混凝土造,93年10月6日,十四層,
RPSOMLQLNHMFFAE68CC,13,13.33,住家用,鋼筋混凝土造,93年10月6日,十四層,
RPSOMLQLNHMFFAE68CC,13,35.84,共有部分,鋼筋混凝土造,93年10月6日,十四層,
RPTOMLQLNHMFFAE78CC,12,123.53,住家用,鋼筋混凝土造,94年10月6日,十五層,
RPTOMLQLNHMFFAE78CC,12,12.31,住家用,鋼筋混凝土造,94年10月6日,十五層,
RPTOMLQLNHMFFAE78CC,12,90.36,住家用,鋼筋混凝土造,94年10月6日,十五層,
RPOPMLQLNHMFFAE38CC,11,156.18,住家用,鋼筋混凝土造,94年12月30日,二十七層,
RPOPMLQLNHMFFAE38CC,11,18.61,住家用,鋼筋混凝土造,94年12月30日,二十七層,
RPOPMLQLNHMFFAE38CC,11,2.41,住家用,鋼筋混凝土造,94年12月30日,二十七層,
RPOPMLQLNHMFFAE38CC,11,52.46,共有部分,鋼筋混凝土造,94年12月30日,二十七層,
RPOPMLQLNHMFFAE38CC,11,19.21,共有部分,鋼筋混凝土造,94年12月30日,二十七層,
RPPOMLQLNHMFFDE68CC,37,313.95,,鋼筋混凝土造,69年10月1日,五層,
RPQOMLQLNHMFFDE78CC,44,156.63,,加強磚造,61年11月30日,三層,
RPUOMLQLNHMFFDE56CC,36,89.00,,鋼筋混凝土造,70年1月6日,五層,
RPWOMLQLNHMFFDE76CC,21,37.04,住家用,鋼筋混凝土造,84年12月9日,七層,
RPUNMLQLNHMFFBE88CC,38,260.28,,鋼筋混凝土造,68年3月3日,四層,
RPXNMLQLNHMFFBE56CC,20,220.11,住家用,鋼筋混凝土造,86年4月21日,三十五層,
RPROMLQLNHMFFBE68CC,44,79.24,,加強磚造,62年2月21日,二層,
RPXOMLQLNHMFFBE66CC,25,198.09,商業用,鋼筋混凝土造,81年9月15日,二十五層,
RPOPMLQLNHMFFBE48CC,10,38.15,住家用,鋼筋混凝土造,96年5月8日,十五層,
RPOPMLQLNHMFFBE48CC,10,3.29,住家用,鋼筋混凝土造,96年5月8日,十五層,
RPOPMLQLNHMFFBE48CC,10,19.28,共有部分,鋼筋混凝土造,96年5月8日,十五層,
RPQNMLRLNHMFFBE58CC,36,34.63,,鋼筋混凝土造,70年10月20日,十一層,
RPRNMLRLNHMFFBE68CC,40,52.15,,鋼筋混凝土造,66年11月10日,五層,
RPWNMLRLNHMFFDE76CC,24,129.00,住家用,鋼筋混凝土造,82年6月30日,十三層,
RPWNMLRLNHMFFDE76CC,24,54.05,住家用,鋼筋混凝土造,82年6月30日,十三層,
RPRNMLRLNHMFFAE58CC,28,146.61,住商用,鋼筋混凝土造,77年12月19日,十二層,
RPRNMLRLNHMFFAE58CC,28,59.04,見使用執照,鋼筋混凝土造,77年12月19日,十二層,
RPQNMLRLNHMFFEE88CC,6,174.21,住商用,鋼筋混凝土造,99年12月28日,十五層,
RPPNMLRLNHMFFCE58CC,27,108.82,住家用,鋼筋混凝土造,79年3月13日,六層,
RPPNMLRLNHMFFCE58CC,27,39.21,見使用執照,鋼筋混凝土造,79年3月13日,六層,
RPPNMLTLNHMFFEE98CC,3,51.81,住家用,鋼筋混凝土造,103年3月27日,十五層,
RPPNMLTLNHMFFEE98CC,3,5.35,住家用,鋼筋混凝土造,103年3月27日,十五層,
RPPNMLTLNHMFFEE98CC,3,84.82,見其它登記事項,鋼筋混凝土造,103年3月27日,十五層,
RPQNMLTLNHMFFEE09CC,4,60.51,住家用,鋼筋混凝土造,102年8月8日,十五層,
RPQNMLTLNHMFFEE09CC,4,18.22,住家用,鋼筋混凝土造,102年8月8日,十五層,
RPQNMLTLNHMFFEE09CC,4,49.24,見其它登記事項,鋼筋混凝土造,102年8月8日,十五層,
RPRNMLTLNHMFFEE56CC,3,50.70,住家用,鋼筋混凝土造,103年11月4日,十五層,
RPRNMLTLNHMFFEE56CC,3,7.69,住家用,鋼筋混凝土造,103年11月4日,十五層,
RPRNMLTLNHMFFEE56CC,3,31.68,見其它登記事項,鋼筋混凝土造,103年11月4日,十五層,
RPSNMLTLNHMFFEE66CC,10,52.75,住家用,鋼筋混凝土造,95年11月28日,十五層,
RPSNMLTLNHMFFEE66CC,10,3.76,住家用,鋼筋混凝土造,95年11月28日,十五層,
RPSNMLTLNHMFFEE66CC,10,23.83,見其它登記事項,鋼筋混凝土造,95年11月28日,十五層,
RPTNMLTLNHMFFEE76CC,41,67.17,,鋼筋混凝土造,65年3月31日,三層,
RPTNMLTLNHMFFEE76CC,41,10.11,,鋼筋混凝土造,65年3月31日,三層,
RPTNMLTLNHMFFEE76CC,41,68.93,,鋼筋混凝土造,65年7月27日,三層,
RPRNMLTLNHMFFBE88CC,2,60.96,住家用,鋼筋混凝土造,104年10月23日,十五層,
RPRNMLTLNHMFFBE88CC,2,9.15,住家用,鋼筋混凝土造,104年10月23日,十五層,
RPRNMLTLNHMFFBE88CC,2,67.99,共有部分,鋼筋混凝土造,104年10月23日,十五層,
RPTNMLTLNHMFFBE09CC,28,112.14,,鋼筋混凝土造,77年12月16日,七層,
