編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPQNMLQKNHMFFBE38CC,意誠段,1447.00,都市：其他
RPUOMLQKNHMFFBE88CC,大統段一小段,.00,都市：商
RPVOMLQKNHMFFBE98CC,正福段,.00,都市：商
RPXOMLQKNHMFFBE56CC,新興段二小段,64.00,都市：商
RPROMLQKNHMFFAE48CC,文東段,117.00,都市：商
RPXOMLQKNHMFFAE09CC,龍中段,11.58,都市：住
RPSNMLQKNHMFFDE78CC,獅頭段,18.91,都市：商
RPSOMLQKNHMFFEE98CC,加昌段,19.13,都市：商
RPROMLQKNHMFFGE09CC,鳳甲段,98.76,都市：住
RPSOMLQKNHMFFGE56CC,曹公段,266.56,都市：工
RPUNMLQKNHMFFFE56CC,大德段,508.08,都市：住
RPXNMLRKNHMFFIE27CC,灣北段,35.93,都市：住
RPOOMLRKNHMFFIE09CC,澄觀段,61.67,都市：住
RPUNMLRKNHMFFCE98CC,獅甲段,.00,非都市： ; 非都市編定：
RPTNMLRKNHMFFEE09CC,福山段,.00,都市：商
RPPQMLRKNHMFFEE98CC,新夏段,590.05,都市：住
RPUNMLRKNHMFFDE09CC,水源段,13.74,都市：住
RPUNMLRKNHMFFDE09CC,水源段,49.17,都市：住
RPSPMLRKNHMFFDE09CC,大港段七小段,66.00,都市：商
RPSPMLRKNHMFFDE09CC,大港段七小段,12.00,都市：商
RPVQMLRKNHMFFDE86CC,陽明段二小段,84.70,都市：住
RPWQMLRKNHMFFDE96CC,獅頭段,3.31,都市：商
RPWOMLRKNHMFFAE09CC,前金段,29.88,都市：商
RPRPMLRKNHMFFAE68CC,青海段,11.39,都市：住
RPUNMLRKNHMFFBE88CC,意誠段,.00,都市：商
RPVNMLRKNHMFFBE98CC,意誠段,4.80,都市：商
RPQNMLSKNHMFFBE58CC,意誠段,51.00,都市：商
RPSNMLSKNHMFFBE78CC,新興段四小段,98.00,都市：商
RPSNMLSKNHMFFBE78CC,新興段四小段,78.00,都市：商
RPTNMLSKNHMFFBE88CC,意誠段,.00,都市：商
