編號,車位類別,車位價格,車位面積平方公尺
RPTNMLRKNHMFFEE09CC,坡道平面,0,24.86
RPWOMLRKNHMFFAE09CC,坡道機械,0,24.64
RPUNMLRKNHMFFBE88CC,坡道平面,2000,14.64
RPTNMLSKNHMFFBE88CC,坡道平面,2000,14.64
RPUOMLTKNHMFFGE07CC,一樓平面,0,
RPPPMLTKNHMFFGE66CC,坡道平面,0,
RPVNMLTKNHMFFCE66CC,坡道平面,0,
RPUPMLTKNHMFFEE96CC,坡道平面,0,33.08
RPUPMLTKNHMFFEE96CC,坡道平面,0,33.08
RPUPMLTKNHMFFEE96CC,坡道平面,0,39.68
RPWNMLTKNHMFFDE86CC,坡道平面,0,
RPSOMLTKNHMFFBE98CC,坡道平面,0,
RPRNMLKLNHMFFAE87CC,升降平面,0,8.29
RPRNMLKLNHMFFAE87CC,升降平面,0,8.29
RPRNMLKLNHMFFAE87CC,升降平面,0,8.29
RPQPMLMLNHMFFDE58DC,坡道機械,0,
RPVPMLNLNHMFFEE56CC,坡道平面,0,13.22
RPWPMLNLNHMFFEE66CC,升降機械,0,11.74
RPOQMLNLNHMFFEE58CC,坡道平面,0,31.28
RPPOMLOLNHMFFAE18CC,坡道平面,0,21.54
RPWNMLQLNHMFFAE98CC,坡道平面,0,31.80
RPXNMLQLNHMFFAE09CC,坡道平面,0,
RPQOMLQLNHMFFAE48CC,坡道平面,0,
RPTOMLQLNHMFFAE78CC,坡道平面,0,
RPOPMLQLNHMFFAE38CC,坡道平面,0,33.80
RPWNMLRLNHMFFDE76CC,坡道平面,0,
RPTNMLTLNHMFFEE76CC,坡道平面,0,
RPRNMLTLNHMFFBE88CC,坡道平面,0,
RPPPMLLMNHMFFDE38CC,坡道平面,0,
