╢m┬эел░╧,ецйЎ╝╨к║,дgжa░╧мqжь╕mй╬л╪кл░╧к∙╡P,дgжa▓╛┬р┴`н▒┐nендшд╜д╪,│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬╜sйw,ецйЎж~дыдщ,ецйЎ╡з┤╔╝╞,▓╛┬р╝hж╕,┴`╝╙╝h╝╞,л╪кллм║A,еDнnе╬│~,еDнnл╪зў,л╪┐vз╣жиж~ды,л╪кл▓╛┬р┴`н▒┐nендшд╜д╪,л╪кл▓{кpоцз╜-й╨,л╪кл▓{кpоцз╜-╞U,л╪кл▓{кpоцз╜-╜├,л╪кл▓{кpоцз╜-╣j╢б,ж│╡L║▐▓z▓╒┬┤,┴`╗∙д╕,│ц╗∙иCендшд╜д╪,иожь├■зO,иожь▓╛┬р┴`н▒┐nендшд╜д╪,иожь┴`╗∙д╕,│╞╡∙,╜s╕╣
дgл░░╧,й╨жa(дgжa+л╪кл),╖sе_елдgл░░╧е├╣ч╕Ї32л╤1~30╕╣,30.02,жэ,,,1050401,дgжa1л╪кл1иожь0,дT╝h,дT╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0660505,68.75,2,2,1,ж│,╡L,5300000,77091,,0.0,0,"╢зеxе~▒└,║M╛Pнье╙│°о╤з╟╕╣A1FA10506240048",RPPQMLLKPHMFFAF28EA
дgл░░╧,й╨жa(дgжa+л╪кл),╖sе_елдgл░░╧ддеб╕ЇдGмq211~240╕╣,22.4,░╙,,,1051112,дgжa2л╪кл1иожь0,дT╝h,дн╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0761115,95.08,3,2,2,ж│,╡L,7200000,75726,,0.0,0,,RPORMLLLKILFFAF67CA
дTнл░╧,л╪кл,╖sе_елдTнл░╧╢░н^╕Ї91~120╕╣,0.0,,,,1051215,дgжa0л╪кл1иожь3,дK╝h,дQдE╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1040702,404.56,4,2,3,ж│,ж│,14270000,35273,йY╣Dенн▒,96.27,0,л╪░╙╗PжaеDжXл╪о╫бC,RPUOMLKKJHMFFGF28CA
дTнл░╧,л╪кл,╖sе_елдTнл░╧╢░н^╕Ї91~120╕╣,0.0,,,,1051215,дgжa0л╪кл1иожь3,дQд╗╝h,дQдE╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1040702,367.11,4,2,3,ж│,ж│,12710000,34622,йY╣Dенн▒,96.27,0,л╪░╙╗PжaеDжXл╪о╫бC,RPWOMLKKJHMFFGF48CA
дgл░░╧,й╨жa(дgжa+л╪кл),╖sе_елдgл░░╧е├╣ч╕Ї32л╤10з╦91~120╕╣,31.53,жэ,,,1051201,дgжa1л╪кл1иожь0,дG╝hбA╢зеx,дT╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0661027,76.5,3,2,2,ж│,╡L,6280000,82092,,0.0,0,"╢зеxе~▒└,║M╛Pнье╙│°о╤з╟╕╣A1FA10602070003",RPOQMLLKPHMFFAF18EA
дTнл░╧,л╪кл,╖sе_елдTнл░╧╢░н^╕Ї61~90╕╣,0.0,,,,1051216,дgжa0л╪кл1иожь1,дQдT╝h,дQдE╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1040702,221.53,4,2,2,ж│,ж│,8270000,37331,йY╣Dенн▒,30.0,0,л╪░╙╗PжaеDжXл╪о╫бC,RPOOMLNKKHMFFGF08CA
дTнл░╧,л╪кл,╖sе_елдTнл░╧╢░н^╕Ї61~90╕╣,0.0,,,,1051202,дgжa0л╪кл1иожь1,дK╝h,дQдE╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1040702,214.84000000000003,4,2,2,ж│,ж│,7990000,37190,йY╣Dенн▒,30.0,0,л╪░╙╗PжaеDжXл╪о╫бC,RPPOMLNKKHMFFGF18CA
дTнл░╧,л╪кл,╖sе_елдTнл░╧╢░н^╕Ї91~120╕╣,0.0,,,,1051205,дgжa0л╪кл1иожь1,дK╝h,дQдE╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1040702,222.75,4,2,2,ж│,ж│,8230000,36947,йY╣Dенн▒,32.09,0,л╪░╙╗PжaеDжXл╪о╫бC,RPOOMLOKKHMFFGF18CA
дTнл░╧,л╪кл,╖sе_елдTнл░╧╢░н^╕Ї91~120╕╣,0.0,,,,1051205,дgжa0л╪кл1иожь1,дQдC╝h,дQдE╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1040702,222.75,4,2,2,ж│,ж│,8230000,36947,йY╣Dенн▒,32.09,0,л╪░╙╗PжaеDжXл╪о╫бC,RPPOMLOKKHMFFGF28CA
дTнл░╧,л╪кл,╖sе_елдTнл░╧╢░н^╕Ї91~120╕╣,0.0,,,,1051205,дgжa0л╪кл1иожь2,дQдK╝h,дQдE╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1040702,254.84,4,2,2,ж│,ж│,8710000,34178,йY╣Dенн▒,64.18,0,л╪░╙╗PжaеDжXл╪о╫бC,RPQOMLOKKHMFFGF38CA
