編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPQMLLKPHMFFAF28EA,39,68.75,住家用,鋼筋混凝土造,66年5月5日,三層,三層
RPORMLLLKILFFAF67CA,29,87.60,住家用,鋼筋混凝土造,76年11月15日,五層,三層
RPORMLLLKILFFAF67CA,29,7.48,見使用執照,鋼筋混凝土造,76年10月15日,五層,
RPUOMLKKJHMFFGF28CA,1,214.10,住家用,鋼筋混凝土造,104年7月2日,十九層,八層
RPUOMLKKJHMFFGF28CA,1,190.46,見其他登記事項,鋼筋混凝土造,104年7月2日,十九層,
RPWOMLKKJHMFFGF48CA,1,188.16,住家用,鋼筋混凝土造,104年7月2日,十九層,十六層
RPWOMLKKJHMFFGF48CA,1,178.95,見其他登記事項,鋼筋混凝土造,104年7月2日,十九層,
RPOQMLLKPHMFFAF18EA,39,76.50,住家用,鋼筋混凝土造,66年10月27日,三層,二層 陽台
RPOOMLNKKHMFFGF08CA,1,132.93,住家用,鋼筋混凝土造,104年7月2日,十九層,十三層
RPOOMLNKKHMFFGF08CA,1,88.60,見其他登記事項,鋼筋混凝土造,104年7月2日,十九層,
RPPOMLNKKHMFFGF18CA,1,128.33,住家用,鋼筋混凝土造,104年7月2日,十九層,八層
RPPOMLNKKHMFFGF18CA,1,86.51,見其他登記事項,鋼筋混凝土造,104年7月2日,十九層,
RPOOMLOKKHMFFGF18CA,1,132.40,住家用,鋼筋混凝土造,104年7月2日,十九層,八層
RPOOMLOKKHMFFGF18CA,1,90.35,見其他登記事項,鋼筋混凝土造,104年7月2日,十九層,
RPPOMLOKKHMFFGF28CA,1,132.40,住家用,鋼筋混凝土造,104年7月2日,十九層,十七層
RPPOMLOKKHMFFGF28CA,1,90.35,見其他登記事項,鋼筋混凝土造,104年7月2日,十九層,
RPQOMLOKKHMFFGF38CA,1,132.40,住家用,鋼筋混凝土造,104年7月2日,十九層,十八層
RPQOMLOKKHMFFGF38CA,1,122.44,見其他登記事項,鋼筋混凝土造,104年7月2日,十九層,
RPVSMLKLKHMFFBF48CA,,186.04,見其他登記事項,鋼筋混凝土造,105年8月30日,九層,八層
RPVSMLKLKHMFFBF48CA,,77.71,見其他登記事項,鋼筋混凝土造,105年8月30日,九層,
