編號,車位類別,車位價格,車位面積平方公尺
RPWNMLKLKILFFBF28CC,坡道平面,0,30.21
RPUNMLRLKILFFIF86CC,一樓平面,0,42.81
RPUNMLRLKILFFIF86CC,一樓平面,0,42.81
RPUNMLRLKILFFIF86CC,一樓平面,0,42.81
RPUNMLRLKILFFIF86CC,一樓平面,0,42.81
RPQNMLPKJHMFFEF28CC,坡道平面,0,4.54
RPTNMLNLJHMFFIF88CC,坡道機械,0,11.57
RPWTMLKMLHMFFBF09CC,坡道平面,0,
RPVNMLRJMHMFFBF88CC,坡道平面,0,21.84
RPUNMLQKNHMFFGF96EC,坡道平面,0,31.17
RPQNMLRKNHMFFHF56CC,坡道平面,0,59.50
RPQNMLRKNHMFFHF56CC,坡道平面,0,59.50
RPUNMLRKNHMFFHF96CC,坡道平面,5500,40.96
RPPOMLRKNHMFFHF56CC,坡道平面,0,38.74
RPWOMLRKNHMFFHF27CC,坡道平面,0,40.48
RPROMLRKNHMFFAF68CC,坡道平面,0,38.00
RPQOMLSKNHMFFHF76CC,坡道平面,0,42.78
RPVOMLSKNHMFFHF27CC,坡道平面,0,40.48
RPPNMLSKNHMFFEF88CC,坡道平面,0,31.41
RPRQMLSKNHMFFEF76CC,坡道平面,0,
RPQNMLMLNHMFFHF78CC,坡道平面,4166,40.35
RPQOMLMLNHMFFDF48CC,坡道平面,0,31.50
RPQOMLMLNHMFFDF48CC,坡道平面,0,31.50
RPQOMLMLNHMFFDF48CC,坡道平面,0,31.50
RPQOMLMLNHMFFDF48CC,坡道平面,0,31.50
RPQOMLMLNHMFFDF48CC,坡道平面,0,31.50
RPQOMLMLNHMFFDF48CC,坡道平面,0,31.50
RPQOMLMLNHMFFDF48CC,坡道平面,0,31.50
RPQOMLMLNHMFFDF48CC,坡道平面,0,31.50
RPQOMLMLNHMFFDF48CC,坡道平面,0,31.50
RPQOMLMLNHMFFDF48CC,坡道平面,0,31.50
RPQOMLMLNHMFFDF48CC,坡道平面,0,31.50
RPQOMLMLNHMFFDF48CC,坡道平面,0,31.50
RPQOMLMLNHMFFDF48CC,坡道平面,0,31.50
RPQOMLMLNHMFFDF48CC,坡道平面,0,31.50
RPQOMLMLNHMFFDF48CC,坡道平面,0,31.50
RPQOMLMLNHMFFDF48CC,坡道平面,0,31.50
RPTPMLMLNHMFFDF88CC,坡道平面,0,
RPTPMLMLNHMFFDF88CC,坡道平面,0,
RPWOMLNLNHMFFDF56CC,坡道平面,0,39.49
RPSPMLPLNHMFFDF66EC,坡道機械,2000,21.35
RPTPMLPLNHMFFDF76EC,坡道機械,2000,21.35
RPUPMLPLNHMFFDF86EC,坡道平面,3000,42.69
RPXPMLPLNHMFFEF07CC,坡道平面,0,29.95
RPPQMLPLNHMFFEF98CC,坡道平面,0,26.54
RPPQMLPLNHMFFEF98CC,坡道平面,0,
RPUNMLPLNHMFFCF98CC,坡道平面,0,35.18
RPWNMLPLNHMFFCF56CC,坡道平面,0,32.50
RPVOMLPLNHMFFHF07CC,坡道平面,0,
RPSNMLQLNHMFFAF68CC,坡道平面,0,26.43
RPUOMLQLNHMFFIF17CC,坡道平面,0,
RPOOMLQLNHMFFDF88EC,坡道平面,0,
RPQNMLRLNHMFFDF88CC,坡道平面,0,32.98
RPUNMLTLNHMFFEF96CC,坡道平面,0,17.68
RPUNMLTLNHMFFEF96CC,坡道平面,0,17.68
RPQNMLTLNHMFFDF09CC,其他,0,
RPTNMLTLNHMFFDF76CC,坡道機械,2500,18.55
RPTNMLTLNHMFFDF76CC,坡道平面,3500,37.10
RPTNMLTLNHMFFDF76CC,坡道平面,3500,37.10
RPTNMLTLNHMFFDF76CC,坡道平面,3500,37.10
RPTNMLTLNHMFFDF76CC,坡道平面,3500,37.10
RPTNMLTLNHMFFDF76CC,坡道平面,3500,37.10
RPTNMLTLNHMFFDF76CC,坡道平面,3500,37.10
RPTNMLTLNHMFFDF76CC,坡道平面,3500,37.10
RPTNMLTLNHMFFDF76CC,坡道平面,3500,37.10
RPTNMLTLNHMFFDF76CC,坡道機械,2500,18.55
RPTNMLTLNHMFFDF76CC,坡道機械,2500,18.55
RPTNMLTLNHMFFDF76CC,坡道機械,2500,18.55
RPTNMLTLNHMFFDF76CC,坡道機械,2500,18.55
RPQNMLKMNHMFFEF38CC,坡道平面,0,30.13
RPQOMLLMNHMFFHF88CC,坡道平面,0,35.99
RPUOMLLMNHMFFHF66CC,坡道平面,0,37.15
RPTPMLLMNHMFFAF58CC,坡道平面,0,38.00
RPWNMLLMNHMFFCF88CC,塔式車位,0,13.64
