鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
礁溪鄉,土地,白玉段121~150地號,798.0,,鄉村區,乙種建築用地,1060329,土地10建物0車位0,,,其他,,,,0.0,0,0,0,有,無,48000000,60150,,0.0,0,出售價格包含未辦保存登記建物。,RPWNMLPJPHMFFBG98CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉大忠路151~180號,34.4,住,,,1060408,土地1建物1車位0,六層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0970729,99.88999999999999,1,1,1,有,有,11180000,111923,,0.0,0,,RPSNMLSKNHMFFBG78CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市進士路41巷1弄1~30號,140.38,農,,,1060425,土地4建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1060313,245.95,5,2,5,有,無,16100000,65460,,0.0,0,,RPVOMLSKNHMFFBG56CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市南橋一路241~270號,1091.0,,特定農業區,農牧用地,1060423,土地1建物1車位0,一層，二層，三層,三層,農舍,農舍,鋼筋混凝土造,1001216,302.16,0,0,0,無,無,17600000,,,0.0,0,,RPOOMLQKNHMFFBG28CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市宜興路三段1~30號,14.03,住,,,1060428,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1030701,44.209999999999994,2,1,2,有,無,2250000,50893,,0.0,0,,RPQNMLSKNHMFFBG58CA
宜蘭市,土地,宜興段571~600地號,6.63,其他,,,1060412,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,762336,114983,,0.0,0,,RPUNMLQKNHMFFBG98EA
宜蘭市,土地,宜榮段181~210地號,1982.0,農,,,1060421,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14300000,7215,,0.0,0,,RPSOMLQKNHMFFBG88EA
壯圍鄉,土地,五權段151~180地號,1830.0,,特定農業區,農牧用地,1060422,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3321450,1815,,0.0,0,,RPVNMLRKNHMFFBG56EA
五結鄉,房地(土地+建物),宜蘭縣五結鄉中興路三段301~330號,93.12,住,,,1060504,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1050224,210.9,3,2,4,有,無,16060000,76150,,0.0,0,,RPWNMLSKNHMFFAG66EA
員山鄉,土地,鼻仔頭段301~330地號,488.96,,特定農業區,甲種建築用地,1060420,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9000000,18406,,0.0,0,,RPRNMLTLNHMFFBG88CA
宜蘭市,土地,宜興段571~600地號,11.07,商,,,1060427,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1272497,114950,,0.0,0,,RPUNMLRKNHMFFBG88CA
宜蘭市,土地,宜興段571~600地號,9.04,商,,,1060427,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1039148,114950,,0.0,0,,RPWNMLRKNHMFFBG09CA
員山鄉,土地,深福段841~870地號,1886.99,,特定農業區,農牧用地,1060510,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6849720,3630,,0.0,0,,RPSOMLRKNHMFFBG78CA
