編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPSNMLSKNHMFFBG78CA,9,58.66,見其他登記事項,鋼筋混凝土造,97年7月29日,十層,六層
RPSNMLSKNHMFFBG78CA,9,33.96,共有部分,鋼筋混凝土造,97年7月29日,十層,
RPSNMLSKNHMFFBG78CA,9,7.27,共有部分,鋼筋混凝土造,97年7月29日,十層,
RPVOMLSKNHMFFBG56CA,,245.95,見其他登記事項,鋼筋混凝土造,106年3月13日,三層,一層 二層 三層 見其他登記事項
RPOOMLQKNHMFFBG28CA,5,302.16,農舍,鋼筋混凝土造,100年12月16日,三層,一層 二層 三層
RPQNMLSKNHMFFBG58CA,3,26.63,見其他登記事項,鋼筋混凝土造,103年7月1日,六層,五層
RPQNMLSKNHMFFBG58CA,3,4.75,見其他登記事項,鋼筋混凝土造,103年7月1日,六層,
RPQNMLSKNHMFFBG58CA,3,12.83,見其他登記事項,鋼筋混凝土造,103年7月1日,六層,
RPWNMLSKNHMFFAG66EA,1,210.90,見其他登記事項,鋼筋混凝土造,105年2月24日,三層,一層 二層 三層 見其他登記事項
RPWOMLRKNHMFFBG56CA,1,178.98,見其他登記事項,鋼筋混凝土造,105年8月16日,三層,一層 二層 三層 見其他登記事項
RPPPMLRKNHMFFBG58CA,25,80.39,住家用,鋼筋混凝土造,81年7月29日,五層,五層
RPQNMLPLNHMFFBG38CA,23,10.06,共有部分,鋼筋混凝土造,83年10月5日,七層,
RPQNMLPLNHMFFBG38CA,23,79.35,住家用,鋼筋混凝土造,83年10月5日,七層,七層
RPQNMLPLNHMFFBG38CA,23,7.22,共有部分,鋼筋混凝土造,83年10月5日,七層,
RPOQMLSKNHMFFBG68CA,22,70.45,住家用,鋼筋混凝土造,84年9月15日,四層,四層
RPOQMLSKNHMFFBG68CA,22,10.22,共有部分,鋼筋混凝土造,84年9月15日,四層,
RPTNMLMLNHMFFBG38CA,2,210.52,見其他登記事項,鋼筋混凝土造,103年12月18日,三層,一層 二層 三層 見其他登記事項
RPSNMLSKNHMFFAG68CA,12,66.51,住家用,鋼筋混凝土造,94年6月14日,四層,三層
RPSNMLSKNHMFFAG68CA,12,20.49,見其他登記事項,鋼筋混凝土造,94年6月14日,四層,
RPSNMLSKNHMFFAG68CA,12,9.46,見其他登記事項,鋼筋混凝土造,94年6月14日,四層,
