編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPXQMLLLKILFFBG88CC,7,125.47,農舍,見其他登記事項,98年12月3日,二層,
RPTNMLRLKILFFAG68CC,48,180.32,住家用,鋼筋混凝土加強磚造,57年11月15日,三層,
RPWNMLRLKILFFBG66EC,18,237.62,住商用,鋼筋混凝土造,88年5月13日,三層,
RPRNMLNKJHMFFBG97CC,49,196.03,住家用,鋼筋混凝土加強磚造,57年1月1日,三層,
RPSNMLLLJHMFFAG87CC,48,124.09,住家用,加強磚造,58年1月1日,二層,
RPVNMLRJKHMFFAG68CC,23,272.58,住家用,鋼筋混凝土造,82年11月29日,五層,
RPQOMLSKKHMFFBG58CC,11,209.16,住商用,鋼筋混凝土造,95年5月29日,三層,
RPSOMLNLLHMFFBG48CC,1,280.09,見其他登記事項,鋼筋混凝土造,104年12月8日,三層,
RPSOMLNLLHMFFBG68EC,41,225.51,住家用,見其他登記事項,65年8月10日,二層,
RPQNMLLLMHMFFBG08CC,,255.14,見其他登記事項,鋼筋混凝土加強磚造,,二層,
RPQNMLLLMHMFFBG08CC,,656.17,見其他登記事項,見其他登記事項,,三層,
RPQNMLLLMHMFFBG08CC,,283.60,見其他登記事項,鋼筋混凝土加強磚造,,二層,
RPXSMLRLMHMFFBG27CC,26,134.83,住家用,鋼筋混凝土造,80年8月26日,七層,
RPRNMLRKNHMFFAG68CC,22,87.28,住家用,鋼筋混凝土造,84年7月24日,五層,
RPSOMLSKNHMFFAG98CC,20,92.27,住家用,鋼筋混凝土造,86年1月23日,六層,
RPSQMLSKNHMFFBG66CC,54,113.75,見其他登記事項,見其他登記事項,52年7月10日,三層,
RPSQMLSKNHMFFBG66CC,41,1677.13,見其他登記事項,鋼筋混凝土造,65年4月16日,五層,
RPSQMLSKNHMFFBG66CC,54,113.75,見其他登記事項,見其他登記事項,52年7月10日,三層,
RPSQMLSKNHMFFBG66CC,54,113.75,見其他登記事項,見其他登記事項,52年7月10日,三層,
RPPOMLSKNHMFFAG88EC,21,29.95,住家用,鋼筋混凝土造,85年8月30日,十二層,
RPPOMLQLNHMFFAG58CC,24,162.23,住家用,鋼筋混凝土造,82年7月27日,三層,
RPPNMLTLNHMFFAG78CC,38,121.92,住家用,鋼筋混凝土加強磚造,68年9月8日,二層,
RPRNMLTLNHMFFAG98CC,5,102.77,農舍,見其他登記事項,101年8月9日,一層,
RPSNMLTLNHMFFAG09CC,9,112.98,見其他登記事項,鋼筋混凝土造,97年9月9日,三層,
RPTNMLTLNHMFFAG56CC,36,106.76,住家用,鋼筋混凝土造,70年10月30日,四層,
RPWNMLLMNHMFFAG78CC,5,102.77,農舍,見其他登記事項,101年8月9日,一層,
RPXNMLLMNHMFFAG88CC,9,112.98,見其他登記事項,鋼筋混凝土造,97年9月9日,三層,
