編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPSOMLTLOHMFFEH17EA,8,106.13,住家用,鋼筋混凝土造,97年1月25日,八層,二層
RPSOMLTLOHMFFEH17EA,8,.35,見其他登記事項,鋼筋混凝土造,97年1月25日,五層,一層
RPSOMLTLOHMFFEH17EA,8,20.17,共有部份,鋼筋混凝土造,97年1月25日,八層,
RPSOMLTLOHMFFEH17EA,8,6.24,共有部份,鋼筋混凝土造,97年1月25日,八層,
RPSOMLTLOHMFFEH17EA,8,23.01,共有部份,鋼筋混凝土造,97年1月25日,八層,
RPSOMLTLOHMFFEH17EA,8,73.32,共有部份,鋼筋混凝土造,97年1月25日,八層,
RPVNMLTLOHMFFEH37EA,35,91.16,住家用,加強磚造,70年6月29日,二層,一層 二層
RPPRMLQJPHMFFBH88CA,1,189.65,見其他登記事項,鋼筋混凝土造,105年1月11日,二十層,十二層
RPPRMLQJPHMFFBH88CA,1,136.16,見其他登記事項,鋼筋混凝土造,105年1月11日,二十層,
RPQRMLQJPHMFFBH98CA,1,189.65,見其他登記事項,鋼筋混凝土造,105年1月11日,二十層,十八層
RPQRMLQJPHMFFBH98CA,1,136.16,見其他登記事項,鋼筋混凝土造,105年1月11日,二十層,
RPSRMLQJPHMFFBH56CA,1,188.12,見其他登記事項,鋼筋混凝土造,105年1月11日,二十層,十七層
RPSRMLQJPHMFFBH56CA,1,135.40,見其他登記事項,鋼筋混凝土造,105年1月11日,二十層,
RPTRMLQJPHMFFBH66CA,1,188.12,見其他登記事項,鋼筋混凝土造,105年1月11日,二十層,十四層
RPTRMLQJPHMFFBH66CA,1,135.40,見其他登記事項,鋼筋混凝土造,105年1月11日,二十層,
RPSNMLKKPHMFFGH98EA,1,131.19,住家用,鋼筋混凝土造,104年9月30日,二十層,十四層
RPSNMLKKPHMFFGH98EA,1,20.41,共有部份,鋼筋混凝土造,104年9月30日,二十層,
RPSNMLKKPHMFFGH98EA,1,38.94,共有部份,鋼筋混凝土造,104年9月30日,二十層,
RPSNMLKKPHMFFGH98EA,1,35.10,共有部份,鋼筋混凝土造,104年9月30日,二十層,
RPVRMLLMLHMFFAH78CA,5,31.63,住家用,鋼筋混凝土造,100年6月21日,十二層,一層
RPVRMLLMLHMFFAH78CA,5,6.79,見其他登記事項,鋼筋混凝土造,100年6月21日,十二層,
RPVRMLLMLHMFFAH78CA,5,50.42,見其他登記事項,鋼筋混凝土造,100年6月21日,十二層,
