編號,車位類別,車位價格,車位面積平方公尺
RPSOMLTLOHMFFEH17EA,坡道平面,0,
RPSOMLTLOHMFFEH17EA,坡道平面,0,
RPPRMLQJPHMFFBH88CA,坡道平面,0,23.54
RPPRMLQJPHMFFBH88CA,坡道平面,0,23.54
RPQRMLQJPHMFFBH98CA,坡道平面,0,23.54
RPQRMLQJPHMFFBH98CA,坡道平面,0,23.54
RPSRMLQJPHMFFBH56CA,坡道平面,0,23.54
RPSRMLQJPHMFFBH56CA,坡道平面,0,23.54
RPTRMLQJPHMFFBH66CA,坡道平面,0,23.54
RPTRMLQJPHMFFBH66CA,坡道平面,0,23.54
RPSNMLKKPHMFFGH98EA,坡道平面,1180000,38.94
RPVRMLLMLHMFFAH78CA,一樓平面,0,42.22
RPSNMLRJMHMFFHH56CA,坡道平面,0,
RPXNMLNJPHMFFGH07EA,坡道平面,0,
RPXNMLNJPHMFFGH07EA,坡道平面,0,
RPTRMLQJPHMFFBH86EA,坡道平面,0,20.56
RPWOMLNJNHMFFAH68CA,坡道機械,0,
RPWOMLNJNHMFFAH68CA,坡道機械,0,
RPTNMLLLOHMFFAH58EA,坡道平面,1000000,36.64
RPUNMLLLOHMFFAH68EA,坡道平面,1000000,36.64
RPVNMLTLOHMFFHH47CA,坡道平面,0,24.86
RPQNMLSLOHMFFCH98CA,坡道平面,0,36.44
RPUNMLTLOHMFFAH86EA,坡道平面,750000,13.55
RPPNMLLKNHMFFFH58CD,坡道平面,0,21.49
RPPNMLRLNHMFFEH98DA,坡道平面,1300000,28.99
RPSNMLSKNHMFFHH86CA,坡道平面,0,
RPSNMLTKNHMFFHH96CA,坡道平面,1200000,36.25
RPTNMLTKNHMFFHH07CA,坡道平面,1200000,36.25
RPPNMLTKNHMFFGH56CA,坡道平面,0,34.49
RPROMLTKNHMFFDH56CA,坡道平面,1200000,29.13
RPSNMLPLNHMFFDH88CA,坡道平面,1150000,
RPSNMLPLNHMFFDH88CA,坡道平面,1150000,
RPUNMLPLNHMFFDH09CA,坡道平面,1200000,
RPUNMLPLNHMFFDH09CA,坡道平面,1200000,
RPVNMLPLNHMFFDH56CA,坡道平面,1200000,
RPOOMLMJOHMFFDH18CA,坡道平面,1200000,
RPOOMLMJOHMFFDH18CA,坡道平面,1200000,
RPXNMLPJOHMFFDH66CA,坡道平面,0,
RPXNMLQJOHMFFDH76CA,坡道平面,1200000,36.38
RPOOMLQJOHMFFDH58CA,坡道平面,1350000,36.38
RPQOMLMLNHMFFCH38CA,坡道平面,1200000,34.74
RPQOMLMLNHMFFCH38CA,坡道平面,1200000,34.74
RPUOMLSKNHMFFEH86CA,坡道平面,0,
RPUOMLSKNHMFFEH86CA,坡道平面,0,
RPROMLMLNHMFFEH68CA,坡道平面,0,32.20
RPRNMLNLNHMFFEH68CA,坡道平面,0,37.26
RPRNMLNLNHMFFEH68CA,坡道平面,0,37.26
RPRPMLNLNHMFFEH88CA,坡道平面,0,
RPROMLLJOHMFFEH48CA,坡道平面,1350000,24.49
RPPOMLQJOHMFFEH78CA,坡道平面,1350000,37.87
RPQOMLQJOHMFFEH88CA,坡道平面,1500000,40.02
RPROMLQJOHMFFEH98CA,坡道平面,1400000,40.02
RPXPMLSKNHMFFFH37CA,坡道平面,1050000,29.74
RPXPMLSKNHMFFFH37CA,坡道平面,1050000,29.74
RPVOMLMLNHMFFFH56CA,坡道平面,0,
RPVOMLMLNHMFFFH56CA,坡道平面,0,
RPOOMLNLNHMFFFH58CA,坡道平面,1200000,16.68
RPPOMLNLNHMFFFH68CA,坡道平面,1350000,16.68
RPPNMLTKNHMFFAH58CA,坡道平面,0,
RPRNMLMLNHMFFAH18CA,坡道機械,1100000,43.37
RPSNMLMLNHMFFAH28CA,坡道平面,1600000,30.17
RPTNMLMLNHMFFAH38CA,坡道機械,1100000,43.37
