鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
龜山區,房地(土地+建物)+車位,公華段391~420地號,27.3,住,,,1050323,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,112.36,2,1,1,有,無,6200000,65117,坡道平面,34.04,1100000,,RPTNMLRKNHMFFHH96CB
龜山區,房地(土地+建物)+車位,公華段391~420地號,27.3,住,,,1041121,土地1建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,114.57,2,1,1,有,無,6500000,67671,坡道平面,36.25,1200000,,RPUNMLRKNHMFFHH07CB
龜山區,房地(土地+建物)+車位,公華段391~420地號,34.03,住,,,1040905,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,132.11,2,1,1,有,無,7660000,66891,坡道平面,34.04,1100000,,RPVNMLRKNHMFFHH17CB
龜山區,房地(土地+建物)+車位,公華段391~420地號,31.86,住,,,1040712,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,127.84,2,1,1,有,無,6960000,62889,坡道平面,36.25,1200000,親友、員工或其他特殊關係間之交易。,RPWNMLRKNHMFFHH27CB
龜山區,房地(土地+建物)+車位,公華段391~420地號,31.86,住,,,1040801,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,127.84,2,1,1,有,無,7370000,67365,坡道平面,36.25,1200000,,RPXNMLRKNHMFFHH37CB
龜山區,房地(土地+建物)+車位,公華段391~420地號,31.86,住,,,1040919,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,127.84,2,1,1,有,無,7350000,67147,坡道平面,36.25,1200000,,RPOOMLRKNHMFFHH56CB
龜山區,房地(土地+建物)+車位,公華段391~420地號,31.86,住,,,1040530,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,125.63,2,1,1,有,無,7220000,66820,坡道平面,34.04,1100000,,RPPOMLRKNHMFFHH66CB
龜山區,房地(土地+建物)+車位,公華段391~420地號,42.46,住,,,1040822,土地1建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,158.38,3,2,1,有,無,9340000,65831,坡道平面,36.25,1300000,,RPQOMLRKNHMFFHH76CB
龜山區,房地(土地+建物)+車位,公華段391~420地號,42.46,住,,,1040922,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,158.38,3,2,1,有,無,9470000,67715,坡道平面,36.25,1200000,,RPROMLRKNHMFFHH86CB
龜山區,房地(土地+建物)+車位,公華段391~420地號,42.46,住,,,1040724,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,158.38,3,2,1,有,無,9450000,67551,坡道平面,36.25,1200000,,RPSOMLRKNHMFFHH96CB
龜山區,房地(土地+建物)+車位,公華段391~420地號,42.46,住,,,1040723,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,158.38,3,2,1,有,無,9230000,65750,坡道平面,36.25,1200000,,RPTOMLRKNHMFFHH07CB
龜山區,房地(土地+建物)+車位,公華段391~420地號,42.46,住,,,1040612,土地1建物1車位1,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,158.38,3,2,1,有,無,9030000,64112,坡道平面,36.25,1200000,,RPUOMLRKNHMFFHH17CB
龜山區,房地(土地+建物)+車位,公華段391~420地號,42.46,住,,,1041226,土地1建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,156.17,3,2,1,有,無,8850000,63457,坡道平面,34.04,1100000,,RPVOMLRKNHMFFHH27CB
龜山區,房地(土地+建物)+車位,公華段391~420地號,42.46,住,,,1041213,土地1建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,158.3,3,2,1,有,無,9150000,65137,坡道平面,36.25,1200000,,RPWOMLRKNHMFFHH37CB
龜山區,房地(土地+建物)+車位,公華段391~420地號,42.46,住,,,1040806,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,158.3,3,2,1,有,無,9050000,64318,坡道平面,36.25,1200000,,RPXOMLRKNHMFFHH47CB
龜山區,房地(土地+建物)+車位,公華段391~420地號,33.1,住,,,1041018,土地1建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,129.39,2,1,1,有,無,7300000,65024,坡道平面,34.04,1100000,,RPOPMLRKNHMFFHH66CB
龜山區,房地(土地+建物)+車位,公華段391~420地號,33.1,住,,,1041011,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,129.39,2,1,1,有,無,7350000,65548,坡道平面,34.04,1100000,,RPPPMLRKNHMFFHH76CB
龜山區,房地(土地+建物)+車位,公華段391~420地號,31.71,住,,,1050315,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,125.18,2,1,1,有,無,7150000,66381,坡道平面,34.04,1100000,,RPRPMLRKNHMFFHH96CB
龜山區,房地(土地+建物)+車位,公華段391~420地號,31.71,住,,,1040625,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,127.39,2,1,1,有,無,7300000,66930,坡道平面,36.25,1200000,,RPTPMLRKNHMFFHH17CB
龜山區,房地(土地+建物)+車位,公華段391~420地號,31.71,住,,,1041128,土地1建物1車位1,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,127.39,2,1,1,有,無,7300000,66930,坡道平面,36.25,1200000,,RPUPMLRKNHMFFHH27CB
龜山區,房地(土地+建物)+車位,公華段391~420地號,43.08,住,,,1041004,土地1建物1車位1,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,159.02,1,1,1,有,無,10000000,70864,坡道平面,36.25,1300000,,RPWPMLRKNHMFFHH47CB
龜山區,房地(土地+建物)+車位,公華段391~420地號,52.82,住,,,1041025,土地1建物1車位1,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,187.18,1,1,1,有,無,11700000,69569,坡道平面,36.25,1200000,,RPXPMLRKNHMFFHH57CB
龜山區,房地(土地+建物)+車位,公華段391~420地號,41.22,住,,,1040816,土地1建物1車位1,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,153.63,1,1,1,有,無,9600000,70711,坡道平面,36.25,1300000,,RPOQMLRKNHMFFHH76CB
龜山區,房地(土地+建物)+車位,公華段391~420地號,41.22,住,,,1041017,土地1建物1車位1,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,151.42,1,1,1,有,無,9800000,74118,坡道平面,34.04,1100000,,RPPQMLRKNHMFFHH86CB
龜山區,房地(土地+建物)+車位,公華段391~420地號,34.49,住,,,1040829,土地1建物1車位1,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,134.02,0,0,0,無,無,8120000,70778,坡道平面,36.25,1200000,,RPRQMLRKNHMFFHH07CB
龜山區,房地(土地+建物)+車位,公華段391~420地號,37.43,住,,,1040809,土地1建物1車位1,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,142.56,0,0,0,無,無,8860000,71113,坡道平面,36.25,1300000,,RPSQMLRKNHMFFHH17CB
龜山區,房地(土地+建物)+車位,公華段391~420地號,36.35,住,,,1040802,土地1建物1車位1,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,137.24,0,0,0,無,無,8400000,70736,坡道平面,34.04,1100000,,RPTQMLRKNHMFFHH27CB
龜山區,房地(土地+建物)+車位,公華段391~420地號,34.73,住,,,1040913,土地1建物1車位1,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,132.65,0,0,0,無,無,7990000,69871,坡道平面,34.04,1100000,,RPUQMLRKNHMFFHH37CB
龜山區,房地(土地+建物)+車位,公華段391~420地號,79.12,住,,,1050310,土地1建物1車位2,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,297.98,0,0,0,無,無,25410000,103202,坡道平面,72.5,2140000,親友、員工或其他特殊關係間之交易。,RPVQMLRKNHMFFHH47CB
龜山區,房地(土地+建物)+車位,公華段391~420地號,33.95,住,,,1040820,土地1建物1車位2,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,167.24,0,0,0,無,無,11480000,100697,坡道平面,72.5,1940000,親友、員工或其他特殊關係間之交易。,RPWQMLRKNHMFFHH57CB
龜山區,房地(土地+建物)+車位,公華段391~420地號,36.58,住,,,1050310,土地1建物1車位2,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,174.55,0,0,0,無,無,12210000,100637,坡道平面,72.5,1940000,親友、員工或其他特殊關係間之交易。,RPXQMLRKNHMFFHH67CB
龜山區,房地(土地+建物)+車位,公華段391~420地號,35.81,住,,,1040831,土地1建物1車位1,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,138.3,0,0,0,無,無,11340000,100637,坡道平面,36.25,1070000,親友、員工或其他特殊關係間之交易。,RPORMLRKNHMFFHH86CB
龜山區,房地(土地+建物)+車位,公華段391~420地號,46.25,住,,,1050319,土地1建物1車位2,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,202.71,0,0,0,無,無,18350000,120958,坡道平面,72.5,2600000,,RPQRMLRKNHMFFHH07CB
中壢區,房地(土地+建物)+車位,青平段421~450地號,29.77,住,,,1050614,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.57,3,2,2,有,無,11260000,71744,坡道平面,34.53,1500000,,RPSQMLSKNHMFFBH66CB
中壢區,房地(土地+建物)+車位,青平段421~450地號,29.77,住,,,1051213,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,170.29,3,2,2,有,無,10440000,65115,坡道平面,34.53,1600000,,RPTQMLSKNHMFFBH76CB
