編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPUPMLRJKILFFBH98CC,復興段,.00,都市：住
RPWPMLSJKILFFBH66CC,老街溪段,.00,都市：住
RPROMLTJKILFFDH98CC,高獅段,195.96,非都市：一般農業區 ; 非都市編定：丁種建築用地
RPROMLTJKILFFDH98CC,高獅段,239.94,非都市：一般農業區 ; 非都市編定：丁種建築用地
RPTNMLOKKILFFFH88CC,廣隆段,55.30,都市：住
RPSPMLOKKILFFBH58CC,中壢埔頂段,.00,都市：住
RPOQMLOKKILFFBH28CC,仁美段,.00,都市：住
RPUNMLQKKILFFDH09DC,草湳坡段埔心小段,91.00,都市：住
RPQNMLTKKILFFFH09CC,東勇段,81.05,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTPMLNLKILFFGH56CC,西社段,.00,都市：住
RPTPMLNLKILFFGH56CC,西社段,.00,都市：其他
RPUPMLNLKILFFGH66CC,德育段,.00,都市：住
RPPQMLNLKILFFBH38CC,仁祥段,.00,都市：住
RPTQMLNLKILFFBH78CC,內壢段,.00,都市：工
RPUNMLNLKILFFAH48CC,新埔段,107.00,都市：住
RPUNMLOLKILFFGH66DC,金鍊段,87.19,都市：住
RPUNMLOLKILFFGH66DC,金鍊段,21.64,都市：住
RPVNMLOLKILFFGH76DC,富貴段,.27,都市：住
RPVNMLOLKILFFGH76DC,富貴段,82.23,都市：住
RPVNMLOLKILFFGH76DC,富貴段,9.35,都市：住
RPVNMLOLKILFFGH76DC,富貴段,2.16,都市：住
RPQPMLSLKILFFAH88DC,龍安段,110.00,都市：住
RPXRMLNJJHMFFBH98CC,中壢埔頂段,.00,都市：住
RPTOMLPJJHMFFBH48CC,石頭段,.00,都市：商
RPRQMLKKJHMFFFH58DC,興隆段,86.07,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPTOMLLKJHMFFGH68CC,南勢段,.00,都市：住
RPTOMLLKJHMFFGH68CC,南勢段,.00,都市：住
RPSQMLLKJHMFFBH28CC,忠孝段,.00,都市：住
RPUOMLNKJHMFFEH88DC,大竹圍段,48.88,都市：住
RPRPMLRKJHMFFDH88CC,草湳坡段埔心小段,.00,都市：住
RPQOMLSKJHMFFFH09DC,豐田段,101.21,都市：住
RPROMLSKJHMFFFH56DC,興豐段,69.45,都市：住
RPSOMLSKJHMFFFH66DC,大智段,37.64,都市：住
RPSQMLSKJHMFFBH98CC,內壢段,.00,都市：工
RPPOMLSKJHMFFEH78CC,長興段,39.13,都市：工
RPPOMLSKJHMFFEH78CC,長興段,386.14,都市：工
RPWRMLTKJHMFFDH17CC,甡甡段,.00,都市：農
RPUOMLKLJHMFFDH58DC,清華段,80.82,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPPMLKLJHMFFBH87CC,忠義段,.00,都市：工
RPUOMLNLJHMFFGH66EC,平鎮段,58.87,都市：商
RPSNMLPLJHMFFEH78CC,大竹圍段,64.56,都市：住
RPVOMLOKKHMFFBH78CC,興南段公坡小段,.00,都市：農
RPQOMLPKKHMFFEH68CC,長興段,1694.81,都市：工
RPWNMLQKKHMFFEH66CC,五福段,.00,都市：住
RPPOMLRKKHMFFBH48CC,中原段,.00,都市：住
RPOOMLSKKHMFFAH38CC,慈文段,.00,都市：住
RPXNMLKLKHMFFGH09CC,振平段,.00,都市：住
RPROMLLLKHMFFFH78EC,大智段,.40,都市：住
RPSOMLMLKHMFFEH68CC,橫山段橫山小段,2923.00,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPSOMLMLKHMFFEH68CC,橫山段橫山小段,1538.00,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPQOMLMLKHMFFBH18CC,老街溪段,.00,都市：住
RPUPMLMLKHMFFBH68CC,忠孝段,.00,都市：住
RPOOMLOLKHMFFEH48CC,長興段,953.38,都市：工
RPSRMLOLKHMFFBH09EC,環東段,75.00,都市：住
RPPNMLMJLHMFFEH28DC,竹圍段拔子林小段,64.00,都市：住
RPSNMLMJLHMFFEH58DC,竹圍段拔子林小段,64.00,都市：住
RPOPMLMJLHMFFAH87CC,小檜溪段,31.95,都市：住
RPRNMLQJLHMFFBH48CC,忠福段,.00,都市：住
RPSPMLRJLHMFFBH88CC,華興段,.00,都市：住
RPVNMLSJLHMFFFH86CC,新興段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPSNMLTJLHMFFCH98CC,烏林段,.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPSNMLTJLHMFFCH98CC,烏林段,.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPRPMLKKLHMFFBH28DC,青溪段,85.10,都市：住
RPPQMLKKLHMFFBH08CC,興南段中壢老小段,.00,都市：商
RPPQMLKKLHMFFBH08CC,興南段中壢老小段,.00,都市：商
RPPQMLKKLHMFFBH08CC,興南段中壢老小段,.00,都市：商
RPSOMLNKLHMFFAH38CC,玉山段,.00,都市：工
RPUNMLNKLHMFFEH88CC,水尾段,.00,都市：工
RPQNMLPKLHMFFEH68CC,水尾段,12951.80,都市：其他
RPQNMLPKLHMFFEH68CC,水尾段,12951.80,都市：其他
RPQNMLPKLHMFFDH68DC,大金山下段大金山下小段,83.00,都市：住
RPQPMLQKLHMFFBH68CC,西寮段,.00,都市：住
RPTNMLKLLHMFFEH58CC,富興段,.00,都市：農
RPOPMLMLLHMFFFH68DC,大智段,62.30,都市：住
RPRNMLOLLHMFFFH09EC,前程段,125.59,都市：住
RPTNMLOLLHMFFCH78CC,潛龍段,.53,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLOLLHMFFCH78CC,潛龍段,72.53,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLOLLHMFFCH88CC,潛龍段,124.80,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLOLLHMFFCH88CC,潛龍段,.59,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLRLLHMFFFH96CC,大發段,706.85,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPUNMLRLLHMFFEH76CC,錦中段,212.97,都市：工
RPROMLTLLHMFFBH09CC,環東段,.00,都市：住
RPQOMLTLLHMFFEH76DC,五塊厝段下埔小段,77.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQOMLTLLHMFFEH76DC,五塊厝段下埔小段,6.85,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPSNMLKMLHMFFGH88DC,金星段,58.35,都市：住
RPPRMLKMLHMFFBH38CC,東寮段,.00,都市：商
RPPRMLKMLHMFFBH38CC,東寮段,.00,都市：住
RPPRMLKMLHMFFBH38CC,東寮段,.00,都市：其他
RPROMLRJMHMFFAH68CC,中平段,.00,都市：住
RPROMLRJMHMFFAH68CC,中平段,.00,都市：住
RPROMLRJMHMFFAH68CC,中平段,.00,都市：其他
RPROMLRJMHMFFAH68CC,中平段,.00,都市：其他
RPPNMLLKMHMFFCH28EC,烏樹林段,93.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLMKMHMFFAH48DC,桃園段武陵小段,177.00,都市：商
RPTNMLMKMHMFFAH48DC,桃園段武陵小段,163.00,都市：商
RPQOMLSKMHMFFFH66CC,瑞豐段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXNMLSKMHMFFBH86CC,普仁段,.00,都市：住
RPVPMLTKMHMFFBH96CC,興南段公坡小段,.00,都市：其他
RPROMLTKMHMFFAH98CC,龍安段,.00,都市：住
RPWNMLTKMHMFFGH37CC,福林段,.00,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPVOMLOLMHMFFFH86CC,興豐段,.00,都市：住
RPVOMLOLMHMFFFH86CC,興豐段,.00,都市：住
RPWRMLOLMHMFFBH86CC,中北段,.00,都市：住
RPWRMLOLMHMFFBH86CC,中北段,.00,都市：住
RPTOMLPLMHMFFEH66CC,水尾段,3753.25,都市：工
RPUNMLPLMHMFFHH96CC,龜山段,38.00,都市：住
RPUNMLPLMHMFFHH96CC,龜山段,29.00,都市：其他
RPWNMLQLMHMFFFH27EC,白鷺段,420.00,都市：工
RPPOMLQLMHMFFAH58CC,中埔段,.00,都市：住
RPVNMLRLMHMFFEH96CC,青山段,.00,都市：住
RPTNMLSLMHMFFEH86CC,青山段,130.58,都市：住
RPPOMLSLMHMFFEH56CC,田心子段田心子小段,5074.94,都市：工
RPPOMLSLMHMFFEH56CC,田心子段田心子小段,1787.00,都市：工
RPQNMLSLMHMFFGH76CC,新富段,.00,都市：住
RPPQMLNJNHMFFAH48DC,法政段,45.63,都市：住
RPOPMLOJNHMFFAH38DC,新埔段,22.00,都市：其他
RPOPMLOJNHMFFAH38DC,新埔段,350.00,都市：其他
RPQPMLTJNHMFFAH98CC,建國段,.00,都市：住
RPUNMLKKNHMFFBH48CC,濱海段,1061.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPOOMLKKNHMFFBH97CC,濱海段,1061.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPTOMLKKNHMFFBH48CC,山上段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWOMLKKNHMFFBH78CC,仁美段,.00,都市：住
RPWOMLKKNHMFFBH78CC,仁美段,.00,都市：其他
RPUNMLKKNHMFFFH09EC,興豐段,329.24,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPUNMLKKNHMFFFH09EC,興豐段,330.33,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPWNMLKKNHMFFEH56EC,錦明段,212.89,都市：工
RPWNMLKKNHMFFEH56EC,錦明段,159.22,都市：工
RPWNMLKKNHMFFEH56EC,錦明段,184.74,都市：工
RPWNMLKKNHMFFEH56EC,錦明段,638.87,都市：工
RPWNMLKKNHMFFEH56EC,錦明段,39.04,都市：工
RPWNMLKKNHMFFEH56EC,錦明段,25.54,都市：工
RPPNMLKKNHMFFCH18DC,竹窩子段,145.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRPMLPKNHMFFBH88CC,復興段,.00,都市：住
RPVQMLQKNHMFFBH86CC,復興段,.00,都市：住
RPXQMLQKNHMFFBH07CC,石頭段,.00,都市：商
RPSTMLQKNHMFFBH86CC,中工段,240.32,都市：工
RPTPMLQKNHMFFAH09CC,桃園段武陵小段,.00,都市：商
RPTQMLQKNHMFFAH56CC,寶山段,.00,都市：商
RPVPMLQKNHMFFAH76DC,中埔段,208.00,都市：住
RPXNMLQKNHMFFCH86CC,三洽水段,1058.00,非都市：山坡地保育區 ; 非都市編定：丁種建築用地
RPXNMLQKNHMFFCH86CC,三洽水段,45.00,非都市：山坡地保育區 ; 非都市編定：丁種建築用地
RPSNMLQKNHMFFFH66CC,興仁段,13.20,都市：住
RPVNMLQKNHMFFFH96CC,豐田段,.00,都市：住
RPUNMLRKNHMFFFH17EC,明智段,16.99,都市：住
RPSPMLRKNHMFFFH17EC,青溪段,19.08,都市：住
RPRNMLRKNHMFFAH78CC,國聖段,.00,都市：住
RPSOMLRKNHMFFAH98CC,雲林段,.00,都市：住
RPWNMLRKNHMFFEH07CC,錦興段,9.90,都市：住
RPOOMLSKNHMFFEH09CC,田心子段崁腳小段,642.00,都市：工
RPROMLSKNHMFFBH09CC,三座屋段舊社小段,164.00,都市：其他
RPQSMLSKNHMFFBH76CC,榮民段,.00,非都市： ; 非都市編定：
RPTNMLSKNHMFFEH96DC,青山段,130.05,都市：住
RPVSMLSKNHMFFBH37DC,石頭段,26.37,都市：住
RPVSMLSKNHMFFBH37DC,石頭段,.75,都市：住
RPWNMLSKNHMFFAH86DC,新埔段,32.00,都市：住
RPWNMLSKNHMFFAH86DC,新埔段,539.00,都市：住
RPRPMLSKNHMFFAH56DC,法政段,13.00,都市：住
RPSPMLSKNHMFFAH66DC,埔子段埔子小段,14.58,都市：住
RPWPMLTKNHMFFFH57CC,茄苳段,.00,都市：住
RPWNMLTKNHMFFGH47CC,廣仁段,.00,都市：其他
RPVPMLTKNHMFFFH57DC,大庄段,1.26,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVPMLTKNHMFFFH57DC,大庄段,69.94,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPXOMLTKNHMFFBH17CC,環東段,.00,都市：住
RPQPMLTKNHMFFBH56CC,忠孝段,.00,都市：住
RPRPMLTKNHMFFBH66CC,環東段,.00,都市：住
RPTPMLTKNHMFFBH86CC,復興段,.00,都市：住
RPUPMLTKNHMFFBH96CC,復興段,.00,都市：住
RPXNMLTKNHMFFAH96CC,慈文段,63.54,都市：住
RPXOMLMLNHMFFAH09CC,中路段,101.00,都市：工
RPTNMLMLNHMFFBH68CC,雙嶺段,141.26,都市：其他
RPVNMLMLNHMFFBH88CC,興南段公坡小段,2.73,都市：其他
RPXNMLMLNHMFFBH09CC,中原段,.00,都市：住
RPOOMLMLNHMFFBH28CC,中寮段,.00,都市：商
RPUOMLMLNHMFFBH88CC,石頭段,.00,都市：商
RPPQMLMLNHMFFBH58CC,新街段,.00,都市：住
RPUNMLMLNHMFFGH66CC,金星段,.00,都市：住
RPVNMLMLNHMFFGH76CC,平鎮段,.00,都市：住
RPWRMLMLNHMFFAH76DC,慈文段,26.70,都市：其他
RPXRMLMLNHMFFAH86DC,中路段,20.75,都市：其他
RPXRMLMLNHMFFAH86DC,中路段,16.75,都市：其他
RPTPMLMLNHMFFBH98DC,雙嶺段,141.02,都市：商
RPQPMLNLNHMFFBH78DC,青平段,26.60,都市：住
RPQPMLNLNHMFFAH68DC,法政段,141.00,都市：住
RPTNMLNLNHMFFGH66CC,興湧段,.00,都市：住
RPVNMLNLNHMFFGH86CC,德育段,.00,都市：住
RPVNMLNLNHMFFGH86CC,德育段,.00,都市：住
RPRNMLNLNHMFFFH98CC,同福段,20.58,都市：住
RPSNMLNLNHMFFFH09CC,明智段,.00,都市：住
RPUNMLNLNHMFFFH66CC,大和段,.00,都市：商
RPXPMLNLNHMFFEH17DC,南崁廟口段營盤坑小段,2116.00,都市：住
RPTOMLNLNHMFFDH56DC,幼獅段,32.42,都市：住
RPROMLNLNHMFFBH88EC,雙嶺段,1719.73,都市：住
RPPNMLNLNHMFFGH98DC,廣豐段,23.11,都市：住
RPXNMLNLNHMFFGH17DC,廣豐段,24.33,都市：住
