編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLRLKILFFAI48EA,21,101.94,住家用,鋼筋混凝土造,84年8月3日,十二層,七層 走廊
RPPNMLRLKILFFAI48EA,21,28.18,共有部份,鋼筋混凝土造,84年8月3日,十二層,
RPOOMLTLKILFFAI68EA,36,55.90,住家用,鋼筋混凝土加強磚造,70年4月7日,二層,一層 二層
RPVNMLTLKILFFAI09CA,23,95.54,住家用,鋼筋混凝土造,82年7月6日,七層,四層
RPVNMLTLKILFFAI09CA,23,39.81,共有部份,鋼筋混凝土造,82年7月6日,七層,
RPQOMLTLKILFFAI68CA,12,192.21,見其他登記事項,鋼筋混凝土造,93年10月21日,3,一層 二層 三層 見其他登記事項
RPSNMLQKKHMFFAI38CA,33,221.46,住商用,鋼筋混凝土造,73年5月1日,三層,一層 二層 三層 騎樓 地下層
RPOOMLRJLHMFFAI18CA,1,178.07,見其他登記事項,見其他登記事項,105年12月19日,三層,一層 二層 三層 見其他登記事項
RPPOMLRJLHMFFAI28CA,1,178.07,見其他登記事項,見其他登記事項,105年12月19日,三層,一層 二層 三層 見其他登記事項
RPQOMLRJLHMFFAI38CA,1,171.84,見其他登記事項,見其他登記事項,105年12月19日,三層,一層 二層 三層 見其他登記事項
RPVNMLRJLHMFFAI78CA,1,178.07,見其他登記事項,見其他登記事項,105年12月19日,三層,一層 二層 三層 見其他登記事項
RPWNMLRJLHMFFAI88CA,1,178.07,見其他登記事項,見其他登記事項,105年12月19日,三層,一層 二層 三層 見其他登記事項
RPVOMLRJLHMFFAI88CA,1,173.96,見其他登記事項,見其他登記事項,105年12月19日,三層,一層 二層 三層 見其他登記事項
RPPPMLRJLHMFFAI38CA,1,166.32,見其他登記事項,見其他登記事項,105年12月19日,三層,一層 二層 三層 見其他登記事項
RPQPMLRJLHMFFAI48CA,1,166.67,見其他登記事項,見其他登記事項,105年12月19日,三層,一層 二層 三層 見其他登記事項
RPTPMLRJLHMFFAI78CA,1,171.84,見其他登記事項,見其他登記事項,105年12月19日,三層,一層 二層 三層 見其他登記事項
RPVPMLRJLHMFFAI98CA,1,171.84,見其他登記事項,見其他登記事項,105年12月19日,三層,一層 二層 三層 見其他登記事項
RPXOMLRJLHMFFAI09CA,1,216.21,住家用,見其他登記事項,105年12月19日,四層,一層 二層 三層 四層
RPTOMLRJLHMFFAI68CA,1,171.84,見其他登記事項,見其他登記事項,105年12月19日,三層,一層 二層 三層 見其他登記事項
RPROMLRJLHMFFAI48CA,1,171.84,見其他登記事項,見其他登記事項,105年12月19日,三層,一層 二層 三層 見其他登記事項
RPWOMLRJLHMFFAI98CA,1,190.99,見其他登記事項,見其他登記事項,105年12月19日,三層,一層 二層 三層 見其他登記事項
RPXNMLRJLHMFFAI98CA,1,178.07,見其他登記事項,見其他登記事項,105年12月19日,三層,一層 二層 三層 見其他登記事項
RPOPMLRJLHMFFAI28CA,1,169.96,見其他登記事項,見其他登記事項,105年12月19日,三層,一層 二層 三層 見其他登記事項
RPSOMLTJLHMFFAI78CA,1,86.53,見其他登記事項,見其他登記事項,105年5月10日,十四層,七層
RPSOMLTJLHMFFAI78CA,1,21.24,見其他登記事項,見其他登記事項,105年5月10日,十四層,
RPSOMLTJLHMFFAI78CA,1,13.96,見其他登記事項,見其他登記事項,105年5月10日,十四層,
RPTOMLTJLHMFFAI88CA,1,91.30,見其他登記事項,見其他登記事項,105年5月10日,十四層,五層
RPTOMLTJLHMFFAI88CA,1,28.21,見其他登記事項,見其他登記事項,105年5月10日,十四層,
RPTOMLTJLHMFFAI88CA,1,46.03,見其他登記事項,見其他登記事項,105年5月10日,十四層,
RPTNMLRJLHMFFAI58CA,1,357.63,住家用,見其他登記事項,105年4月1日,四層,一層 二層 三層 四層
RPUNMLRJLHMFFAI68CA,36,13.88,住家用,鋼筋混凝土造,70年4月21日,九層,四層
RPUNMLRJLHMFFAI68CA,36,5.16,共有部份,鋼筋混凝土造,70年4月21日,九層,
RPUNMLRJLHMFFAI68CA,36,13.21,住家用,鋼筋混凝土造,70年4月21日,九層,四層
