編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPWNMLTLKILFFAI76EA,湖子內段湖美小段,74.07,都市：住
RPSNMLTLKILFFAI98EA,湖東段,3.00,都市：住
RPSNMLTLKILFFAI98EA,湖東段,11.00,都市：住
RPTNMLTLKILFFAI09EA,元段二小段,34.00,都市：商
RPXNMLTLKILFFAI86EA,大溪段,111.28,都市：住
RPXNMLTLKILFFAI86EA,大溪段,195.00,都市：住
RPOOMLTLKILFFAI68EA,下路頭段,42.00,都市：住
RPVNMLTLKILFFAI09CA,堀川段,24.05,都市：住
RPPOMLTLKILFFAI58CA,湖子內段湖美小段,92.05,都市：住
RPQOMLTLKILFFAI68CA,車店段車店小段,91.00,都市：住
RPROMLTLKILFFAI78CA,榮段四小段,2.08,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,2.08,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,4.17,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,.33,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,.33,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,.67,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,2.92,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,2.92,都市：商
RPROMLTLKILFFAI78CA,榮段四小段,5.83,都市：商
RPOOMLRJLHMFFAI18CA,劉厝段,88.00,都市：農
RPOOMLRJLHMFFAI18CA,劉厝段,.68,都市：農
RPOOMLRJLHMFFAI18CA,劉厝段,19.52,都市：農
RPPOMLRJLHMFFAI28CA,劉厝段,88.00,都市：農
RPPOMLRJLHMFFAI28CA,劉厝段,.68,都市：農
RPPOMLRJLHMFFAI28CA,劉厝段,19.52,都市：農
RPQOMLRJLHMFFAI38CA,劉厝段,84.00,都市：農
RPQOMLRJLHMFFAI38CA,劉厝段,.68,都市：農
RPQOMLRJLHMFFAI38CA,劉厝段,19.52,都市：農
RPVNMLRJLHMFFAI78CA,劉厝段,88.00,都市：農
RPVNMLRJLHMFFAI78CA,劉厝段,.68,都市：農
RPVNMLRJLHMFFAI78CA,劉厝段,19.52,都市：農
RPWNMLRJLHMFFAI88CA,劉厝段,88.00,都市：農
RPWNMLRJLHMFFAI88CA,劉厝段,.68,都市：農
RPWNMLRJLHMFFAI88CA,劉厝段,19.52,都市：農
RPVOMLRJLHMFFAI88CA,劉厝段,83.00,都市：農
RPVOMLRJLHMFFAI88CA,劉厝段,.68,都市：農
RPVOMLRJLHMFFAI88CA,劉厝段,19.52,都市：農
RPPPMLRJLHMFFAI38CA,劉厝段,81.00,都市：農
RPPPMLRJLHMFFAI38CA,劉厝段,.68,都市：農
RPPPMLRJLHMFFAI38CA,劉厝段,19.52,都市：農
RPQPMLRJLHMFFAI48CA,劉厝段,82.00,都市：農
RPQPMLRJLHMFFAI48CA,劉厝段,.68,都市：農
RPQPMLRJLHMFFAI48CA,劉厝段,19.52,都市：農
RPTPMLRJLHMFFAI78CA,劉厝段,84.00,都市：農
RPTPMLRJLHMFFAI78CA,劉厝段,.68,都市：農
RPTPMLRJLHMFFAI78CA,劉厝段,19.52,都市：農
RPVPMLRJLHMFFAI98CA,劉厝段,87.00,都市：農
RPVPMLRJLHMFFAI98CA,劉厝段,.68,都市：農
RPVPMLRJLHMFFAI98CA,劉厝段,19.52,都市：農
RPXOMLRJLHMFFAI09CA,劉厝段,113.00,都市：農
RPXOMLRJLHMFFAI09CA,劉厝段,.68,都市：農
RPXOMLRJLHMFFAI09CA,劉厝段,19.52,都市：農
RPTOMLRJLHMFFAI68CA,劉厝段,84.00,都市：農
RPTOMLRJLHMFFAI68CA,劉厝段,.68,都市：農
RPTOMLRJLHMFFAI68CA,劉厝段,19.52,都市：農
