編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUNMLTJJHMFFBJ88CA,1,419.20,住商用,鋼筋混凝土造,104年11月23日,五層,一層 二層 三層 四層 五層 屋頂突出物
RPTNMLTJJHMFFDJ09DA,,47.10,住家用,加強磚造,,三層,一層
RPPNMLPKJHMFFCJ18CA,,14888.08,見其他登記事項,鋼筋混凝土造,,七層,一層 二層 三層 四層 五層 六層 七層 地下一層 地下二層
RPQNMLQLJHMFFCJ48CA,12,202.88,住家用,鋼筋混凝土造,94年4月29日,四層,一層 二層 三層 四層
RPRNMLMJKHMFFCJ08CA,17,133.77,住家用,鋼筋混凝土造,88年9月30日,八層,五層
RPRNMLMJKHMFFCJ08CA,17,24.72,見其他登記事項,鋼筋混凝土造,88年9月30日,八層,
RPRNMLMJKHMFFCJ08CA,17,20.16,見其他登記事項,鋼筋混凝土造,88年9月30日,八層,一層 地下一層
RPTNMLTKJHMFFDJ09CA,2,230.72,見其他登記事項,鋼筋混凝土造,104年3月27日,四層,一層 二層 三層 四層 屋頂突出物
RPSNMLQLJHMFFCJ68CA,6,23.22,共用部分,鋼筋混凝土造,99年12月31日,十層,
RPSNMLQLJHMFFCJ68CA,6,45.10,見其他登記事項,鋼筋混凝土造,99年12月31日,十層,九層
RPSNMLQLJHMFFCJ68CA,6,10.97,共用部分,鋼筋混凝土造,99年12月31日,十層,
RPQNMLQJMHMFFDJ68CA,,468.01,見其他登記事項,鋼筋混凝土造,106年1月15日,五層,一層 二層 三層 四層 五層 屋頂突出物
RPXOMLRKMHMFFDJ07CA,3,211.25,見其他登記事項,鋼筋混凝土造,103年7月30日,四層,一層 二層 三層 四層
RPUNMLLLMHMFFDJ88DA,40,203.22,住家用,加強磚造,65年12月22日,二層,一層 二層 騎樓
RPUNMLRLMHMFFCJ66CA,,213.60,住家用,鋼筋混凝土造,,三層,一層 二層 三層 騎樓
RPQOMLPJNHMFFCJ68CA,,.71,見其他登記事項,鋼筋混凝土造,105年12月30日,一層,一層
RPQOMLPJNHMFFCJ68CA,,2.23,見其他登記事項,鋼筋混凝土造,105年12月30日,三層,
RPQOMLPJNHMFFCJ68CA,,15.58,見其他登記事項,鋼筋混凝土造,105年12月30日,三層,
RPQOMLPJNHMFFCJ68CA,,160.11,見其他登記事項,鋼筋混凝土造,105年12月30日,三層,一層 二層 三層 地下一層
RPWNMLKKNHMFFDJ88CA,3,207.28,見其他登記事項,鋼筋混凝土造,103年8月14日,四層,一層 二層 三層 四層 屋頂突出物
RPPNMLLJOHMFFCJ18CA,12,21.86,住家用,鋼筋混凝土造,94年5月5日,十層,六層
RPPNMLLJOHMFFCJ18CA,12,7.85,共有部份,鋼筋混凝土造,94年5月5日,十層,
RPPNMLLJOHMFFCJ18CA,12,8.79,共有部份,鋼筋混凝土造,94年5月5日,十層,
RPROMLOLNHMFFCJ88CA,,93.11,見其他登記事項,鋼筋混凝土造,105年10月5日,十二層,八層
